canon powershot g3,,,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,nsubj####purchased####i######nsubj####satisfied####i######advmod####purchased####recently######det####g3####the######amod####g3####canon######nn####g3####powershot######dobj####purchased####g3######auxpass####satisfied####am######advmod####satisfied####extremely######conj_and####purchased####satisfied######det####purchase####the######prep_with####satisfied####purchase
,,,yep .
camera,,,"this is my first digital camera , and what a ' toy ' it is !",nsubj####camera####this######cop####camera####is######poss####camera####my######amod####camera####first######amod####camera####digital######nsubj####is####what######det####toy####a######dep####what####toy######nsubj####is####it######conj_and####camera####is
,,,"i am a software_engineer and am very keen into technical details of everything_i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent_i spent on it .",nsubj####software_engineer####i######nsubj####keen####i######cop####software_engineer####am######det####software_engineer####a######cop####keen####am######advmod####keen####very######conj_and####software_engineer####keen######amod####details####technical######prep_into####keen####details######nn####buy####everything_i######prep_of####details####buy######nsubj####spend####i######ccomp####software_engineer####spend######prt####spend####around######num####months####3######tmod####spend####months######prepc_before####spend####buying######det####camera####the######amod####camera####digital######dobj####buying####camera######nsubj####say####i######aux####say####must######ccomp####software_engineer####say######conj_and####spend####say######amod####worth####g3######nsubj####spent####worth######det####cent_i####every######amod####cent_i####single######dep####worth####cent_i######ccomp####software_engineer####spent######prep_on####spent####it
picture,,,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance .",advmod####overview####just######det####overview####a######amod####overview####little######nsubj####gives####overview######nn####g3####powershot######nsubj####flagship####g3######cop####flagship####is######det####flagship####the######parataxis####gives####flagship######poss####series####canon######amod####series####powershot######prep_of####flagship####series######poss####camera####its######det####camera####an######amod####camera####slr-like######conj_and####flagship####camera######parataxis####gives####camera######poss####control####its######dep####megapixel####4######amod####control####megapixel######dep####megapixel####alsmost######advmod####manual####full######conj_and####megapixel####manual######amod####control####manual######nsubj####gives####control######det####pictures####the######iobj####gives####pictures######det####touch####a######dobj####gives####touch######prep_of####touch####brilliance
use,,,"whether you are a novice or an expert , its ease of use and functionality goes together .",dep####novice####whether######nsubj####novice####you######cop####novice####are######det####novice####a######ccomp####goes####novice######det####expert####an######conj_or####novice####expert######ccomp####goes####expert######poss####ease####its######nsubj####goes####ease######prep_of####ease####use######prep_of####ease####functionality######conj_and####use####functionality######advmod####goes####together
,,,"+ you can have different kind of lens if you want + flashes , etc .",advmod####have####+######nsubj####have####you######aux####have####can######amod####kind####different######dobj####have####kind######prep_of####kind####lens######mark####want####if######nsubj####want####you######advcl####have####want######amod####flashes####+######dobj####want####flashes######appos####flashes####etc
,,,"as its 4mp , you might need bigger storage to store high quality_images and recording movies ( you can record 3 minutes of video ) .",poss####4mp####its######prep_as####need####4mp######nsubj####need####you######aux####need####might######amod####storage####bigger######dobj####need####storage######aux####store####to######infmod####storage####store######amod####quality_images####high######dobj####store####quality_images######amod####movies####recording######dobj####store####movies######conj_and####quality_images####movies######nsubj####record####you######aux####record####can######dep####movies####record######num####minutes####3######dobj####record####minutes######prep_of####minutes####video
,,,i am using kingston 512mb cf which works great and is very fast .,nsubj####using####i######aux####using####am######nn####cf####kingston######nn####cf####512mb######dobj####using####cf######nsubj####works####cf######nsubj####fast####cf######rcmod####cf####works######acomp####works####great######cop####fast####is######advmod####fast####very######rcmod####cf####fast######conj_and####works####fast
,,,"a good choice could be cf type ii , microdrives that can store around 1 gb of images .",det####choice####a######amod####choice####good######nsubj####type####choice######aux####type####could######cop####type####be######nn####type####cf######dep####microdrives####ii######dep####type####microdrives######nsubj####store####microdrives######aux####store####can######rcmod####microdrives####store######prt####store####around######num####gb####1######dobj####store####gb######prep_of####gb####images
,,,some things that i did n't like ( but hey . nothing is perfect ) .,nsubj####perfect####nothing######cop####perfect####is
dial,,,* main dial is not backlit .,dep####dial####\*######amod####dial####main######cop####backlit####is######neg####backlit####not######dep####dial####backlit
viewfinder,,,* lens visible in optical viewfinder .,dep####\*####lens######acomp####lens####visible######amod####viewfinder####optical######prep_in####lens####viewfinder
,,,( well thats only for old-school die-hard optical viewfinder_fans ) use lcd instead which is brilliant and you can twist around too .,advmod####thats####well######nsubj####use####thats######dep####thats####only######amod####viewfinder_fans####old-school######amod####viewfinder_fans####die-hard######amod####viewfinder_fans####optical######prep_for####thats####viewfinder_fans######dobj####use####lcd######advmod####use####instead######nsubj####brilliant####which######cop####brilliant####is######dep####use####brilliant######nsubj####twist####you######aux####twist####can######conj_and####use####twist######prt####twist####around######advmod####twist####too
,,camera,overall i 'm happy with my toy .,amod####i####overall######nsubj####happy####i######cop####happy####'m######poss####toy####my######prep_with####happy####toy
,,,i did extensive research comparing different 4 and 5 megapixel_cameras .,nsubj####did####i######amod####research####extensive######dobj####did####research######xcomp####did####comparing######amod####megapixel_cameras####different######dep####different####4######dep####different####5######conj_and####4####5######dobj####comparing####megapixel_cameras
,,,"a couple of online_camera review_sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution_sample images to compare amongst the models .",det####couple####a######nsubj####helpful####couple######nn####review_sites####online_camera######prep_of####couple####review_sites######cop####helpful####were######advmod####helpful####extremely######ccomp####provided####helpful######mark####provided####as######nsubj####provided####they######advcl####helpful####provided######amod####reviews####complete######amod####reviews####exhaustive######dobj####provided####reviews######advmod####camera####nearly######det####camera####every######prep_of####reviews####camera######partmod####camera####made######nsubj####provided####plus######det####number####a######amod####number####great######dobj####provided####number######amod####images####high######nn####images####resolution_sample######prep_of####number####images######aux####compare####to######xcomp####provided####compare######det####models####the######prep_amongst####compare####models
,,,"following my research , i decided on the g3 .",poss####research####my######prep_following####decided####research######nsubj####decided####i######det####g3####the######prep_on####decided####g3
camera,,,"in a word , `` awesome `` is how i would describe this camera .",det####word####a######prep_in####is####word######advmod####is####awesome######advmod####describe####how######nsubj####describe####i######aux####describe####would######ccomp####is####describe######det####camera####this######dobj####describe####camera
"speed,picture quality,function",,,"i wo n't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture_quality , the flexibility , the automation , and the functional conveniences this camera offers .",nsubj####go####i######aux####go####wo######neg####go####n't######det####details####the######prep_into####go####details######advmod####go####here######mark####go####as######det####sites####the######amod####sites####online######nsubj####go####sites######dep####sites####stevesdigicams######appos####stevesdigicams####dpreviews######advcl####go####go######amod####depth####great######prep_into####go####depth######poss####reviews####their######prep_in####depth####reviews######nsubj####pleased####i######cop####pleased####am######advmod####pleased####very######conj_but####go####pleased######det####features####the######prep_with####pleased####features######det####speed####the######prep_with####pleased####speed######conj_and####features####speed######det####picture_quality####the######prep_with####pleased####picture_quality######conj_and####features####picture_quality######det####flexibility####the######prep_with####pleased####flexibility######conj_and####features####flexibility######det####automation####the######prep_with####pleased####automation######conj_and####features####automation######det####conveniences####the######amod####conveniences####functional######prep_with####pleased####conveniences######conj_and####features####conveniences######det####offers####this######nn####offers####camera######dep####conveniences####offers
auto setting,,,"with the automatic settings , i really have n't taken a bad picture yet .",det####settings####the######amod####settings####automatic######prep_with####taken####settings######nsubj####taken####i######advmod####taken####really######aux####taken####have######neg####taken####n't######det####picture####a######amod####picture####bad######dobj####taken####picture######advmod####taken####yet
,,,"and with the panoramic `` stitch `` mode , it guides you through stitching together multiple pictures to build a seamless panoramic image .",dep####guides####and######dep####and####with######det####mode####the######amod####mode####panoramic######nn####mode####stitch######pobj####with####mode######nsubj####guides####it######dobj####guides####you######prepc_through####guides####stitching######prt####stitching####together######amod####pictures####multiple######dobj####stitching####pictures######aux####build####to######xcomp####stitching####build######det####image####a######amod####image####seamless######amod####image####panoramic######dobj####build####image
camera,,,"i am absolutely in awe of this camera , canon put enormous quality into the g3 .",nsubj####am####i######ccomp####put####am######advmod####am####absolutely######prep_in####am####awe######det####camera####this######prep_of####awe####camera######nsubj####put####canon######amod####quality####enormous######dobj####put####quality######det####g3####the######prep_into####put####g3
,,,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed .",aux####walk####do######neg####walk####n't######ccomp####guarantee####walk######conj_and####walk####run######ccomp####guarantee####run######conj_and####walk####buy######ccomp####guarantee####buy######det####camera####this######dobj####walk####camera######mark####have####if######nsubj####have####you######advcl####walk####have######det####budget####the######dobj####have####budget######nsubj####guarantee####i######nsubj####disappointed####you######aux####disappointed####will######neg####disappointed####not######cop####disappointed####be######ccomp####guarantee####disappointed
canon g3,,,i bought my canon_g3 about a month ago and i have to say i am very satisfied .,nsubj####bought####i######poss####canon_g3####my######dobj####bought####canon_g3######det####month####a######prep_about####bought####month######dep####month####ago######nsubj####have####i######xsubj####say####i######conj_and####bought####have######aux####say####to######xcomp####have####say######nsubjpass####satisfied####i######auxpass####satisfied####am######advmod####satisfied####very######ccomp####say####satisfied
photo quality,,,i have taken hundreds of photos with it and i continue to be amazed by their quality .,nsubj####taken####i######aux####taken####have######dobj####taken####hundreds######prep_of####hundreds####photos######prep_with####taken####it######nsubj####continue####i######xsubj####amazed####i######conj_and####taken####continue######aux####amazed####to######auxpass####amazed####be######xcomp####continue####amazed######poss####quality####their######agent####amazed####quality
feature,,,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter_speeds .",det####g3####the######nsubjpass####loaded####g3######auxpass####loaded####is######amod####features####many######amod####features####useful######prep_with####loaded####features######advmod####smaller####many######amod####cameras####smaller######amod####cameras####digital######prep_unlike####easy####cameras######nsubj####easy####it######cop####easy####is######conj_and####loaded####easy######aux####hold####to######xcomp####easy####hold######acomp####hold####steady######advmod####using####when######advcl####hold####using######amod####shutter_speeds####slower######dobj####using####shutter_speeds
,,,flaws ?
viewfinder,,,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .",det####lens####the######nsubj####visible####lens######cop####visible####is######det####viewfinder####the######prep_in####visible####viewfinder######advmod####set####when######det####lens####the######nsubjpass####set####lens######auxpass####set####is######advcl####visible####set######det####angle####the######amod####angle####wide######prep_to####set####angle######mark####use####since######nsubj####use####i######advcl####much####use######det####most####the######amod####most####lcd######dobj####use####most######det####time####the######prep_of####most####time######nsubj####much####this######cop####much####is######neg####much####not######advmod####much####really######conj_but####visible####much######det####bother####a######prep_of####much####bother######prep_to####much####me
,,,still i am a little suprised that canon did not correct this design_flaw before releasing the camera .,advmod####suprised####still######nsubj####suprised####i######cop####suprised####am######dep####little####a######measure####suprised####little######complm####correct####that######nsubj####correct####canon######aux####correct####did######neg####correct####not######ccomp####suprised####correct######det####design_flaw####this######dobj####correct####design_flaw######prepc_before####correct####releasing######det####camera####the######dobj####releasing####camera
camera,,,"despite this minor disappointment , i highly recommend the canon_g3 anyone who is serious about digital photography .",det####disappointment####this######amod####disappointment####minor######prep_despite####recommend####disappointment######nsubj####recommend####i######advmod####recommend####highly######det####anyone####the######amod####anyone####canon_g3######dobj####recommend####anyone######nsubj####serious####anyone######cop####serious####is######rcmod####anyone####serious######amod####photography####digital######prep_about####serious####photography
camera,,,i have only had this camera for one full day and i have to say that it is wonderful .,nsubj####had####i######aux####had####have######advmod####had####only######det####camera####this######dobj####had####camera######prep_for####camera####one######amod####day####full######tmod####had####day######nsubj####have####i######xsubj####say####i######conj_and####had####have######aux####say####to######xcomp####have####say######complm####wonderful####that######nsubj####wonderful####it######cop####wonderful####is######ccomp####say####wonderful
photo quality,,,the photo_quality is amazing and i know i 'm going to have fun with all the features .,det####photo_quality####the######nsubj####amazing####photo_quality######cop####amazing####is######nsubj####know####i######conj_and####amazing####know######nsubj####going####i######xsubj####have####i######aux####going####'m######ccomp####know####going######aux####have####to######xcomp####going####have######dobj####have####fun######predet####features####all######det####features####the######prep_with####fun####features
,,,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) .",nsubj####figured####i######aux####figured####'ve######prt####figured####out######dobj####figured####most######poss####features####its######prep_of####most####features######poss####own####my######prep_on####figured####own######advmod####figured####already######mark####used####because######nsubj####used####i######aux####used####have######parataxis####figured####used######amod####cameras####digital######dobj####used####cameras######advmod####used####before######mark####know####so######nsubj####know####i######advcl####used####know######dobj####know####things######prep_like####things####symbols
,,,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display_panel on top , but that does n't stop me from loving this camera .",nsubj####one####i######cop####one####'m######det####people####those######prep_of####one####people######nsubj####concentrate####people######aux####concentrate####can######advmod####concentrate####only######rcmod####people####concentrate######num####screen####one######prep_on####concentrate####screen######det####time####a######prep_at####screen####time######mark####having####so######nsubj####having####i######aux####having####'ve######aux####having####been######dep####concentrate####having######dobj####having####trouble######xcomp####having####paying######dobj####paying####attention######det####display_panel####the######amod####display_panel####little######prep_to####paying####display_panel######prep_on####display_panel####top######nsubj####stop####that######aux####stop####does######neg####stop####n't######dep####concentrate####stop######conj_but####having####stop######dobj####stop####me######prepc_from####stop####loving######det####camera####this######dobj####loving####camera
darn diopter adjustment dial,,,"the reason_i rated it a four is because of that darn_diopter adjustment_dial . its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter_adjustment is , it is to adjust the focus of the viewfinder to your eyesight . )",poss####small####its######advmod####small####very######conj_and####small####hard######aux####turn####to######xcomp####hard####turn######mark####t####so######nsubj####t####you######aux####t####can######advcl####turn####t######xcomp####t####get######det####adjustment####an######amod####adjustment####accurate######dobj####get####adjustment######dep####get####for######pobj####for####those######nsubj####know####those######prep_of####those####you######aux####know####do######neg####know####n't######rcmod####those####know######dep####is####what######dobj####is####what######det####diopter_adjustment####a######nsubj####is####diopter_adjustment######ccomp####know####is######nsubj####is####it######xsubj####adjust####it######ccomp####is####is######aux####adjust####to######xcomp####is####adjust######det####focus####the######dobj####adjust####focus######det####viewfinder####the######prep_of####focus####viewfinder######poss####eyesight####your######prep_to####adjust####eyesight
,,,i am going to have so much fun with this camera and when i learn more i will post a more accurate review .,nsubj####going####i######xsubj####have####i######aux####going####am######aux####have####to######xcomp####going####have######advmod####much####so######amod####fun####much######dobj####have####fun######det####camera####this######prep_with####have####camera######advmod####learn####when######nsubj####learn####i######csubj####post####learn######advmod####i####more######acomp####learn####i######aux####post####will######conj_and####going####post######det####review####a######advmod####accurate####more######amod####review####accurate######dobj####post####review
,,,positives
"exposure control,auto setting",,,"1 ) slr like programming and exposure_control gives you latitude to be creative , yet its progam and auto_exposure settings provide excellent photos if you do n't want to bother with the settings .",dep####gives####1######nsubj####gives####slr######prep_like####slr####programming######prep_like####slr####exposure_control######conj_and####programming####exposure_control######iobj####gives####you######dobj####gives####latitude######aux####creative####to######cop####creative####be######xcomp####gives####creative######poss####progam####its######nsubj####provide####progam######nn####settings####auto_exposure######conj_and####progam####settings######nsubj####provide####settings######conj_yet####gives####provide######amod####photos####excellent######dobj####provide####photos######mark####want####if######nsubj####want####you######xsubj####bother####you######aux####want####do######neg####want####n't######advcl####provide####want######aux####bother####to######xcomp####want####bother######det####settings####the######prep_with####bother####settings
metering option,,,excellent range of metering options as well .,amod####range####excellent######prepc_of####range####metering######dobj####metering####options######advmod####well####as######advmod####metering####well
spot metering,,,it 's great to switch to spot metering and actually see it working on the lcd_screen .,nsubj####great####it######cop####great####'s######aux####switch####to######xcomp####great####switch######aux####spot####to######xcomp####switch####spot######dobj####spot####metering######xcomp####switch####actually######advmod####spot####actually######conj_and####spot####actually######xcomp####switch####see######conj_and####spot####see######nsubj####working####it######dep####see####working######det####lcd_screen####the######prep_on####working####lcd_screen
4mp,,,2 ) 4mp is about right for the target_market of this camera ( semi-serious amateur_photographer ),dep####4mp####2######prep####4mp####is######advmod####right####about######dep####is####right######det####target_market####the######prep_for####4mp####target_market######det####camera####this######prep_of####target_market####camera######amod####amateur_photographer####semi-serious######appos####camera####amateur_photographer
zoom,,,3 ) 4x zoom is nice,dep####zoom####3######amod####zoom####4x######prep####zoom####is######dep####is####nice
,,,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure_settings on the lcd_screen before you take the picture , not two weeks later when you get the film developed .",dep####thing####4######det####thing####the######amod####thing####great######nsubj####is####thing######prep_about####thing####digital######prep_in####thing####general######complm####see####that######nsubj####see####you######aux####see####can######advmod####see####generally######ccomp####is####see######det####results####the######dobj####see####results######poss####exposure_settings####your######prep_of####results####exposure_settings######det####lcd_screen####the######prep_on####see####lcd_screen######mark####take####before######nsubj####take####you######dep####see####take######det####picture####the######dobj####take####picture######neg####weeks####not######num####weeks####two######dep####later####weeks######advmod####take####later######advmod####get####when######nsubj####get####you######dep####take####get######det####film####the######nsubj####developed####film######ccomp####get####developed
focus,,,5 ) its focusing_system is also very flexible .,dep####flexible####5######poss####focusing_system####its######nsubj####flexible####focusing_system######cop####flexible####is######advmod####flexible####also######advmod####flexible####very
focus,,,"you can move the focus_range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus_mode that would be really helpful if shooting a scene that is tough to automatically focus .",nsubj####move####you######aux####move####can######det####focus_range####the######dobj####move####focus_range######prep####move####to######quantmod####anywhere####almost######pobj####to####anywhere######det####scene####the######prep_in####move####scene######det####push####the######prep_with####scene####push######det####button####a######prep_of####push####button######nsubj####has####it######conj_and####move####has######det####focus_mode####an######amod####focus_mode####on-screen######amod####focus_mode####manual######dobj####has####focus_mode######nsubj####helpful####focus_mode######aux####helpful####would######cop####helpful####be######advmod####helpful####really######rcmod####focus_mode####helpful######mark####shooting####if######advcl####helpful####shooting######det####scene####a######dobj####shooting####scene######nsubj####tough####scene######cop####tough####is######rcmod####scene####tough######aux####focus####to######advmod####focus####automatically######xcomp####tough####focus
,,,negatives
,"size,weight",,"1 ) quite bulky ( it 's about the same size as my minolta_vectis s-1 aps_slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line )",dep####bulky####1######nsubj####bulky####quite######nsubj####uses####quite######nsubj####'s####it######parataxis####bulky####'s######parataxis####uses####'s######det####size####the######amod####size####same######prep_about####'s####size######poss####aps_slr####my######amod####aps_slr####minolta_vectis######amod####aps_slr####s-1######prep_as####size####aps_slr######conj_and####bulky####uses######det####battery####a######amod####battery####heavy######nsubjpass####contructed####battery######mark####solid####although######neg####solid####not######advmod####solid####very######dep####battery####solid######prep_as####solid####it######auxpass####contructed####is######dep####bulky####contructed######advmod####contructed####mostly######prep_of####contructed####plastic######dep####plastic####unlike######poss####line####canon######amod####line####elph######pobj####unlike####line
,design,,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ),dep####ergonomical####2######neg####very####not######nsubj####ergonomical####very######nsubj####find####you######aux####find####'ll######parataxis####ergonomical####find######advmod####find####even######det####lens####a######amod####lens####point-and-shoot######prep_for####find####lens
viewfinder,,,4 ) the viewfinder is borderuer lcd scoying .,dep####lcd####4######det####viewfinder####the######nsubj####lcd####viewfinder######cop####lcd####is######nn####lcd####borderuer######partmod####lcd####scoying
"feature, ",,,the camera has a wonderful set of features .,det####camera####the######nsubj####has####camera######det####set####a######amod####set####wonderful######dobj####has####set######prep_of####set####features
lcd,,,the lcd_screen pulls out and rotates in any direction for easy pictures .,det####lcd_screen####the######nsubj####pulls####lcd_screen######nsubj####rotates####lcd_screen######prt####pulls####out######conj_and####pulls####rotates######det####direction####any######prep_in####rotates####direction######amod####pictures####easy######prep_for####direction####pictures
,,,you can even take a picture of yourself while looking at the lcd .,nsubj####take####you######aux####take####can######advmod####take####even######det####picture####a######dobj####take####picture######prep_of####picture####yourself######prepc_while####take####looking######det####lcd####the######prep_at####looking####lcd
"optical zoom,digital zoom",,,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry .,det####zoom####the######amod####zoom####optical######nsubj####works####zoom######acomp####works####great######det####zoom####the######amod####zoom####14x######amod####zoom####digital######nsubj####addition####zoom######cop####addition####is######det####addition####a######advmod####nice####very######amod####addition####nice######conj_and####works####addition######mark####blurry####although######nsubj####blurry####pictures######det####zoom####the######amod####zoom####highest######amod####zoom####digital######prep_at####pictures####zoom######cop####blurry####are######dep####little####a######measure####blurry####little######advcl####addition####blurry
picture,,,the highest optical zoom_pictures are perfect .,det####zoom_pictures####the######amod####zoom_pictures####highest######amod####zoom_pictures####optical######nsubj####perfect####zoom_pictures######cop####perfect####are
picture,,,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .",dep####seen####i######aux####seen####have######neg####seen####not######advmod####seen####yet######dobj####seen####any######det####problems####the######amod####problems####usual######prep_of####any####problems######amod####pictures####digital######prep_with####seen####pictures######amod####etc####purple######nn####etc####fringing######appos####pictures####etc######mark####pleased####so######nsubj####pleased####i######cop####pleased####am######advmod####pleased####very######advcl####seen####pleased
software,,,"the canon_computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .",det####software####the######nn####software####canon_computer######xsubj####download####software######nsubj####nice####software######nsubj####easy####software######xsubj####use####software######partmod####software####used######aux####download####to######xcomp####used####download######xcomp####used####sort######conj_and####download####sort######xcomp####used####upload######conj_and####download####upload######xcomp####used####manage######conj_and####download####manage######poss####pictures####your######amod####pictures####digital######dobj####download####pictures######det####computer####the######prep_on####download####computer######cop####nice####is######advmod####nice####very######advmod####easy####very######conj_and####nice####easy######aux####use####to######xcomp####nice####use
"lens cap,viewfinder",,,the only two minor issues_i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) .,det####issues_i####the######amod####issues_i####only######num####issues_i####two######amod####issues_i####minor######nsubj####cap####issues_i######aux####with####have######rcmod####issues_i####with######det####camera####the######pobj####with####camera######cop####cap####are######det####cap####the######nn####cap####lens######nsubj####snug####it######nsubj####come####it######cop####snug####is######neg####snug####not######advmod####snug####very######dep####cap####snug######aux####come####can######dep####cap####come######conj_and####snug####come######prt####come####off######advmod####easily####too######advmod####come####easily######det####lens####the######conj_and####cap####lens######dep####lens####itself######nsubj####obstructs####it######advmod####obstructs####partially######dep####lens####obstructs######det####view####the######dobj####obstructs####view######det####viewfinder####the######prep_through####obstructs####viewfinder######prep_through####obstructs####views######conj_negcc####viewfinder####views######det####lcd####the######prep_through####obstructs####lcd
"menu,button",,,the menus are easy to navigate and the buttons are easy to use .,det####menus####the######nsubj####easy####menus######cop####easy####are######aux####navigate####to######xcomp####easy####navigate######det####buttons####the######nsubj####easy####buttons######cop####easy####are######conj_and####easy####easy######aux####use####to######xcomp####easy####use
camera,,,it is a fantastic camera and well worth the price .,nsubj####camera####it######cop####camera####is######det####camera####a######amod####camera####fantastic######advmod####worth####well######amod####price####worth######det####price####the######conj_and####camera####price
camera,,,recent price_drops have made the g3 the best bargain in digital cameras currently available .,amod####price_drops####recent######nsubj####made####price_drops######aux####made####have######det####g3####the######nsubj####bargain####g3######det####bargain####the######amod####bargain####best######xcomp####made####bargain######amod####cameras####digital######prep_in####bargain####cameras######advmod####available####currently######amod####cameras####available
