 feature, use,camera,"it 's easy to use , and yet very feature rich .",nsubj####easy####it######cop####easy####'s######aux####use####to######xcomp####easy####use######advmod####very####yet######xcomp####easy####very######advmod####use####very######conj_and####use####very######xcomp####easy####feature######conj_and####use####feature######acomp####feature####rich
"auto mode,scene mode",,,"in the auto mode it functions basically as a point and click , the scene_modes are very easy to use and produce good results .",det####mode####the######nn####mode####auto######prep_in####functions####mode######nsubj####functions####it######ccomp####easy####functions######advmod####functions####basically######det####point####a######prep_as####functions####point######prep_as####functions####click######conj_and####point####click######det####scene_modes####the######nsubj####easy####scene_modes######cop####easy####are######advmod####easy####very######aux####use####to######xcomp####easy####use######xcomp####easy####produce######conj_and####use####produce######amod####results####good######dobj####use####results
manual mode,,,the manual mode is feature rich and i can 't wait to get the hang of it .,det####mode####the######amod####mode####manual######nsubj####rich####mode######cop####rich####is######advmod####rich####feature######amod####can####i######poss####t####can######nsubj####wait####t######xsubj####get####t######conj_and####rich####wait######aux####get####to######xcomp####wait####get######det####hang####the######dobj####get####hang######prep_of####hang####it
"macro mode,picture",,,"the macro_mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject .",det####macro_mode####the######nsubj####exceptional####macro_mode######cop####exceptional####is######det####pictures####the######nsubj####clear####pictures######cop####clear####are######advmod####clear####very######conj_and####exceptional####clear######nsubj####take####you######aux####take####can######conj_and####exceptional####take######det####pictures####the######dobj####take####pictures######det####unbelievably####the######nn####unbelievably####lens######prep_with####take####unbelievably######advmod####take####close######det####subject####the######dep####close####subject
battery life,,,"the battery_life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it .",det####battery_life####the######nsubj####good####battery_life######cop####good####is######advmod####good####very######nsubj####got####i######dep####good####got######quantmod####90####about######num####minutes####90######dobj####got####minutes######det####lcd####the######prep_with####got####lcd######partmod####lcd####turned######predet####time####all######det####time####the######prep_on####turned####time######det####time####the######amod####time####first######appos####time####time######dep####time####around######nsubj####using####i######nsubj####needed####i######xsubj####recharge####i######aux####using####have######aux####using####been######conj_and####good####using######dobj####using####it######det####lcd####the######prep_with####using####lcd######advmod####using####off######dep####off####every######dep####using####now######dep####now####and######dep####now####then######aux####needed####have######advmod####needed####yet######conj_and####good####needed######conj_and####using####needed######aux####recharge####to######xcomp####needed####recharge######dobj####recharge####it
,,,"the camera comes with a lexar 16mb starter card , which stores about 10 images in fine mode at the highest resolution , i intend to buy a bigger card soon .",det####camera####the######nsubj####comes####camera######ccomp####intend####comes######det####card####a######amod####card####lexar######amod####card####16mb######amod####card####starter######prep_with####comes####card######nsubj####stores####card######rcmod####card####stores######quantmod####10####about######num####images####10######dobj####stores####images######amod####mode####fine######prep_in####images####mode######det####resolution####the######amod####resolution####highest######prep_at####stores####resolution######nsubj####intend####i######xsubj####buy####i######aux####buy####to######xcomp####intend####buy######det####card####a######amod####card####bigger######dobj####buy####card######advmod####buy####soon
,,,i love photography .,dep####love####i######dobj####love####photography
,,,i had an older camera that was simply a point and shoot_camera .,nsubj####had####i######det####camera####an######amod####camera####older######dobj####had####camera######nsubj####point####camera######cop####point####was######advmod####point####simply######det####point####a######rcmod####camera####point######rcmod####camera####shoot_camera######conj_and####point####shoot_camera
,,,"i needed something with more power , so i bought a nikon_coolpix 4300 .",nsubj####needed####i######dobj####needed####something######amod####power####more######prep_with####needed####power######dep####needed####so######nsubj####bought####i######ccomp####needed####bought######det####nikon_coolpix####a######dobj####bought####nikon_coolpix######num####nikon_coolpix####4300
"camera, use",,,"i fell in love with this camera , it combines ease of use , with an immense amount of options and power .",nsubj####fell####i######ccomp####combines####fell######prep_in####fell####love######det####camera####this######prep_with####fell####camera######nsubj####combines####it######dobj####combines####ease######prep_of####ease####use######det####amount####an######amod####amount####immense######prep_with####combines####amount######prep_of####amount####options######prep_of####amount####power######conj_and####options####power
,,,"you can use the scene_modes , or fine tune the options , i. you can change the iso_level , shutter speed , etc .",nsubj####use####you######nsubj####fine####you######aux####use####can######ccomp####i.####use######det####scene_modes####the######dobj####use####scene_modes######conj_or####use####fine######ccomp####i.####fine######iobj####fine####tune######det####options####the######dobj####fine####options######nsubj####change####you######aux####change####can######ccomp####i.####change######det####iso_level####the######nsubj####i.####iso_level######nn####speed####shutter######appos####iso_level####speed######appos####speed####etc
camera,,,"this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera .",det####camera####this######nsubj####ideal####camera######cop####ideal####is######prep_for####ideal####people######nsubj####want####people######nsubj####want####people######rcmod####people####want######amod####power####more######dobj####want####power######aux####want####do######neg####want####n't######rcmod####people####want######conj_but####want####want######aux####spend####to######xcomp####want####spend######amod####dollars####1000s######dobj####spend####dollars######det####camera####a######prep_on####spend####camera
,,,i bought coolpix 4300 two months after i had bought canon_powershot s400 .,nsubj####bought####i######dobj####bought####coolpix######number####two####4300######num####months####two######dep####bought####months######dep####bought####after######nsubj####bought####i######aux####bought####had######dep####bought####bought######amod####s400####canon_powershot######dobj####bought####s400
,,,reason for two ?,prep_for####reason####two
,,,it was not easy sharing one with my teen age_kid .,nsubj####easy####it######cop####easy####was######neg####easy####not######dep####easy####sharing######dobj####sharing####one######poss####age_kid####my######amod####age_kid####teen######prep_with####sharing####age_kid
,,,the two cameras are very similar in functionality and pricing .,det####cameras####the######num####cameras####two######nsubj####similar####cameras######cop####similar####are######advmod####similar####very######prep_in####similar####functionality######prep_in####similar####pricing######conj_and####functionality####pricing
,,,i 've had no problem with canon_whatsoever .,nsubj####had####i######aux####had####'ve######det####problem####no######dobj####had####problem######prep_with####problem####canon_whatsoever
picture quality,,,"with nikon , although picture_qualities are as good as any other 4 mp_cameras , i 've had the following headaches ;",prep_with####had####nikon######mark####good####although######nsubj####good####picture_qualities######cop####good####are######advmod####good####as######advcl####had####good######det####mp_cameras####any######amod####mp_cameras####other######num####mp_cameras####4######prep_as####good####mp_cameras######nsubj####had####i######aux####had####'ve######det####headaches####the######amod####headaches####following######dobj####had####headaches
transfer,,,1 . pictures wo n't transfer to pc directly from the camera using the included transfer_cable .
,,,"i did everything_i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card_reader .",nsubj####did####i######nsubj####could####everything_i######ccomp####did####could######nsubj####took####it######conj_and####did####took######amod####days####many######dobj####took####days######prep_of####days####frustration######prepc_before####took####concluding######complm####is####that######det####way####the######amod####way####only######nsubj####is####way######aux####transfer####to######infmod####way####transfer######prep_to####transfer####pc######ccomp####concluding####is######det####card_reader####the######prep_with####is####card_reader
,,,card_reader is included .,nsubjpass####included####card_reader######auxpass####included####is
,,,"2 . the speed is noticeably slower than canon , especially so with flashes on ."
,,,"3 . with low battery , it twice wiped out the entire pictures in the memory_chip ."
,,,i used lexar 256 mb and i still use it which means nothing is wrong with lexar .,nsubj####used####i######nn####mb####lexar######num####mb####256######nsubj####use####mb######conj_and####mb####i######nsubj####use####i######advmod####use####still######ccomp####used####use######dobj####use####it######nsubj####means####which######dep####use####means######nsubj####wrong####nothing######cop####wrong####is######ccomp####means####wrong######prep_with####wrong####lexar
,,,be very careful when the battery is low and make sure to carry extra batteries .,cop####careful####be######advmod####careful####very######advmod####low####when######det####battery####the######nsubj####low####battery######cop####low####is######advcl####careful####low######conj_and####careful####make######acomp####make####sure######aux####carry####to######xcomp####sure####carry######amod####batteries####extra######dobj####carry####batteries
,,,"the other reviewers have clearly pointed all the good things about this camera , which i do agree .",det####reviewers####the######amod####reviewers####other######nsubj####pointed####reviewers######aux####pointed####have######advmod####pointed####clearly######predet####things####all######det####things####the######amod####things####good######dobj####pointed####things######det####camera####this######prep_about####pointed####camera######dobj####agree####camera######rel####agree####which######nsubj####agree####i######aux####agree####do######rcmod####camera####agree
,,,"but there are certain issues might be they are to me here - all of them are minor ; not major ones though ,",cc####are####but######expl####are####there######acomp####are####certain######nsubj####be####issues######aux####be####might######ccomp####certain####be######nsubj####are####they######dep####be####are######prep_to####are####me######advmod####are####here######nsubj####minor####all######prep_of####all####them######cop####minor####are######parataxis####are####minor######neg####minor####not######amod####ones####major######dep####minor####ones######advmod####ones####though
auto mode,,,. this camera keeps on autofocussing in auto_mode with a buzzing_sound which can 't be stopped .
,,,would be really good if they have given an option to stop this autofocussing .,aux####good####would######cop####good####be######advmod####good####really######mark####given####if######nsubj####given####they######aux####given####have######advcl####good####given######det####option####an######dobj####given####option######aux####stop####to######infmod####option####stop######det####autofocussing####this######dobj####stop####autofocussing
,,,". if you want to have the date ; time on the image , its only through their software `` nikon view `` which reads the images_date ; time from the images_meta-data ."
,,,so if you use your card_reader ; copy images - you got to onceagain open them through their software to put the date ; time .,advmod####use####so######dep####use####if######nsubj####use####you######advcl####got####use######poss####card_reader####your######dobj####use####card_reader######parataxis####got####copy######dobj####copy####images######nsubj####got####you######xsubj####onceagain####you######aux####onceagain####to######xcomp####got####onceagain######prt####onceagain####open######dobj####onceagain####them######poss####software####their######prep_through####onceagain####software######aux####put####to######infmod####software####put######det####time####the######nn####time####date######dobj####put####time
,,,"in that too , there is n't a direct way to add date ; time - you got to say ' print images ' to a different directory in which there is an option to specify the date ; time .",prep_in####is####that######advmod####is####too######expl####is####there######neg####is####n't######det####way####a######amod####way####direct######nsubj####is####way######aux####add####to######infmod####way####add######dobj####add####date######dep####date####time######nsubj####got####you######xsubj####say####you######parataxis####is####got######aux####say####to######xcomp####got####say######nn####images####print######dobj####say####images######det####directory####a######amod####directory####different######prep_to####say####directory######rel####is####which######expl####is####there######rcmod####directory####is######det####option####an######nsubj####is####option######aux####specify####to######infmod####option####specify######det####time####the######nn####time####date######dobj####specify####time
image,,,. even the slightest of the shakes totally distorts your image
indoor image,,,. images taken indoor were n't so clear .
,,,you got to have flash ' on ' to get it eventhough your room is well lit,nsubj####got####you######xsubj####flash####you######aux####flash####to######aux####flash####have######xcomp####got####flash######prep####flash####on######aux####get####to######xcomp####flash####get######nsubj####eventhough####it######ccomp####get####eventhough######poss####room####your######nsubj####lit####room######cop####lit####is######advmod####lit####well######ccomp####eventhough####lit
lens cap,,,. lens_cap is a really annoying
,,,. go ; get a high speed like lexar 12x or higher cf card .
,,,"else with simpler viking cf_cards , it takes couple of seconds to write a picture with approximately `` fine ** '' picture_quality `` image_size : 1600 .",advmod####takes####else######dep####else####with######amod####cf_cards####simpler######nn####cf_cards####viking######pobj####with####cf_cards######nsubj####takes####it######dobj####takes####couple######prep_of####couple####seconds######aux####write####to######infmod####seconds####write######det####picture####a######dep####image_size####picture######advmod####fine####approximately######amod####picture_quality####fine######amod####picture_quality####\*\*######prep_with####picture####picture_quality######dep####write####image_size######dep####couple####1600
movie,,,. the movie clips taken will always have some ' noise ' in it - you can 't avoid that .
"camera, picture, close-up shooting",,,but overall this is a good camera with a ' really good ' picture_clarity ; an exceptional close-up_shooting capability .,cc####camera####but######advmod####camera####overall######nsubj####camera####this######cop####camera####is######det####camera####a######amod####camera####good######det####picture_clarity####a######advmod####good####really######amod####picture_clarity####good######prep_with####camera####picture_clarity######det####capability####an######amod####capability####exceptional######amod####capability####close-up_shooting######dep####camera####capability
,,,i would rate this is 4.5 stars picture quality ; image_size defined above are specific to nikon coolpix .,nsubj####would####i######dep####quality####rate######nsubj####quality####this######cop####quality####is######num####quality####4.5######nn####quality####stars######nn####quality####picture######dep####would####quality######nsubj####specific####image_size######partmod####image_size####defined######prep####defined####above######cop####specific####are######dep####quality####specific######aux####nikon####to######xcomp####specific####nikon######dobj####nikon####coolpix
menu dial knob,,,"within a year , there are problems with my menu dial knob .",det####year####a######prep_within####are####year######expl####are####there######nsubj####are####problems######poss####knob####my######nn####knob####menu######nn####knob####dial######prep_with####problems####knob
,,,it became stucked which makes it almost impossible to switch between modes .,nsubj####stucked####it######cop####stucked####became######nsubj####makes####stucked######rcmod####stucked####makes######nsubj####switch####it######advmod####impossible####almost######dep####switch####impossible######aux####switch####to######xcomp####makes####switch######prep_between####switch####modes
servicing,,,"i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem .",dep####send####i######poss####camera####my######dobj####send####camera######aux####nikon####to######infmod####camera####nikon######prep_for####nikon####servicing######partmod####servicing####took######dobj####took####them######det####weeks####a######amod####weeks####whole######num####weeks####6######tmod####took####weeks######aux####diagnose####to######xcomp####took####diagnose######det####problem####the######dobj####diagnose####problem
,,,"worse of all , they claim that it 's some kind of internal damage and refuse to cover the cost via warranty !",advmod####all####worse######dep####all####of######advmod####claim####all######nsubj####claim####they######nsubj####refuse####they######xsubj####cover####they######complm####kind####that######nsubj####kind####it######cop####kind####'s######det####kind####some######ccomp####claim####kind######amod####damage####internal######prep_of####kind####damage######conj_and####claim####refuse######aux####cover####to######xcomp####refuse####cover######det####cost####the######dobj####cover####cost######prep_via####cost####warranty
,,,they would n't repair my camera unless if i pay $ 100 for parts ? and labor !,dep####and####labor
"camera,customer service",,,"it is a good camera in terms of the function and quality , but take your chance with it because nikon absolutely sucks when it comes to customer_service .",nsubj####camera####it######nsubj####take####it######cop####camera####is######det####camera####a######amod####camera####good######prep_in####camera####terms######det####function####the######prep_of####terms####function######prep_of####terms####quality######conj_and####function####quality######conj_but####camera####take######poss####chance####your######dobj####take####chance######prep_with####take####it######mark####sucks####because######nsubj####sucks####nikon######advmod####sucks####absolutely######advcl####take####sucks######advmod####comes####when######nsubj####comes####it######xsubj####customer_service####it######advcl####sucks####comes######aux####customer_service####to######xcomp####comes####customer_service
system error,,,got a `` system_error `` problem 30 days after purchase .,det####problem####a######amod####problem####system_error######dobj####got####problem######num####days####30######tmod####got####days######prep_after####got####purchase
camera,,,made the camera totally inoperable .,det####camera####the######nsubj####inoperable####camera######advmod####inoperable####totally######xcomp####made####inoperable
lens cap,,,"also , the lens_cap design is flawed .",advmod####flawed####also######det####design####the######nn####design####lens_cap######nsubj####flawed####design######cop####flawed####is
,,,you have to manually take the cap off in order to use it .,nsubj####have####you######xsubj####take####you######xsubj####use####you######aux####take####to######advmod####take####manually######xcomp####have####take######det####cap####the######dobj####take####cap######prt####take####off######prep_in####take####order######aux####use####to######xcomp####have####use######dobj####use####it
audio,,,audio on video also lacking .,prep_on####audio####video######advmod####lacking####also######partmod####audio####lacking
"picture,delay",,,"otherwise , it takes very good pictures ; shutter delay is n't so bad either .",advmod####takes####otherwise######nsubj####takes####it######advmod####good####very######amod####pictures####good######dobj####takes####pictures######nn####delay####shutter######nsubj####bad####delay######cop####bad####is######neg####bad####n't######advmod####bad####so######parataxis####takes####bad######advmod####bad####either
,,,"still , had to send it back to nikon for repair .",advmod####had####still######aux####send####to######xcomp####had####send######dobj####send####it######advmod####nikon####back######aux####nikon####to######xcomp####had####nikon######prep_for####nikon####repair
,,,i am an amateur_photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world .,nsubj####amateur_photographer####i######cop####amateur_photographer####am######det####amateur_photographer####an######advmod####piece####here######cop####piece####is######det####piece####a######conj_and####amateur_photographer####piece######prepc_of####piece####advise######predet####folks####all######det####folks####the######prep_to####advise####folks######nsubj####thinking####who######aux####thinking####are######ccomp####folks####thinking######prepc_about####thinking####making######det####move####a######dobj####making####move######det####world####the######amod####world####digital######dobj####amateur_photographer####world
camera,,,"nikon 4300 , i_feel , is the best camera out there for the features and price .",nsubj####camera####nikon######num####nikon####4300######appos####nikon####i_feel######cop####camera####is######det####camera####the######amod####camera####best######prep####camera####out######pobj####out####there######det####features####the######prep_for####there####features######prep_for####there####price######conj_and####features####price
,,,here were my requirements in a digital camera :,advmod####were####here######poss####requirements####my######nsubj####were####requirements######det####camera####a######amod####camera####digital######prep_in####requirements####camera
,,,1 . i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6 `` or 5x7 `` prints and i wanted some really great 8x10 `` photos once in a while .
,,,2 . i did not want a very small camera as it seems to get lost in my hands and i was n't comfortable with that .
,,,i wanted a decent sized camera with a contour for my fingers to hold it steadily .,nsubj####wanted####i######xsubj####hold####i######det####camera####a######amod####camera####decent######amod####camera####sized######dobj####wanted####camera######det####contor####a######prep_with####wanted####contor######poss####fingers####my######prep_for####contor####fingers######aux####hold####to######xcomp####wanted####hold######dobj####hold####it######advmod####hold####steadily
,,,"3 . i wanted a camera that had a lot of built-in settings for different types of suroundings while giving me an option to use my photography_skills although , i am an amateur with an interest in photography by turning on the manual settings ."
,,,"4 . and , of course , i wanted a respected brand and had to stay within my budget because i had bought an expensive camcorder before but had n't used it much ."
,,,"depending on all the above requirements , i had narrowed down my search to nikon 4300 and canon powershot s400_models .",predet####requirements####all######det####requirements####the######amod####requirements####above######prep_depending_on####narrowed####requirements######nsubj####narrowed####i######aux####narrowed####had######prt####narrowed####down######poss####search####my######dobj####narrowed####search######aux####nikon####to######xcomp####narrowed####nikon######nn####s400_models####4300######conj_and####4300####canon######nn####s400_models####canon######nn####s400_models####powershot######dobj####nikon####s400_models
,,,"nikon got the final nod for its settings auto and manual along with movie_modes , medium ; compact size , price , brand_name , good software that is included and previous reviews .",nsubj####got####nikon######det####nod####the######amod####nod####final######dobj####got####nod######poss####auto####its######amod####auto####settings######prep_for####got####auto######prep_for####got####manual######conj_and####auto####manual######prep_along_with####got####movie_modes######appos####movie_modes####medium######amod####software####compact######nn####software####size######dep####software####price######dep####software####brand_name######amod####software####good######appos####movie_modes####software######conj_and####medium####software######nsubjpass####included####software######auxpass####included####is######rcmod####software####included######amod####reviews####previous######appos####movie_modes####reviews######conj_and####medium####reviews
,,,i should say i have been very happy with my decision ever since .,nsubj####say####i######aux####say####should######nsubj####happy####i######aux####happy####have######cop####happy####been######advmod####happy####very######ccomp####say####happy######poss####decision####my######prep_with####happy####decision######advmod####happy####ever######dep####ever####since
picture,,,the pictures are absolutely amazing - the camera captures the minutest of details .,det####pictures####the######nsubj####amazing####pictures######cop####amazing####are######advmod####amazing####absolutely######det####camera####the######nsubj####captures####camera######parataxis####amazing####captures######det####minutest####the######dobj####captures####minutest######prep_of####minutest####details
,,,a few things that might make it even better :,det####things####a######amod####things####few######nsubj####make####things######aux####make####might######rcmod####things####make######nsubj####better####it######advmod####better####even######xcomp####make####better
indoor picture,,,1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance .
,delay,,2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow .
picture,,,3 . the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture .
,,,"all the above , i think , are problems with all the digital cameras out there and so i have no major complaints .",dep####above####all######dep####above####the######advmod####think####above######nsubj####think####i######cop####problems####are######dep####think####problems######predet####cameras####all######det####cameras####the######amod####cameras####digital######prep_with####problems####cameras######dep####there####out######advmod####problems####there######mark####have####so######nsubj####have####i######dep####think####have######conj_and####problems####have######det####complaints####no######amod####complaints####major######dobj####have####complaints
,,,try to buy a tripod and that should solve some of those problems .,aux####buy####to######dep####try####buy######det####tripod####a######dobj####buy####tripod######nsubj####solve####that######aux####solve####should######dep####try####solve######conj_and####buy####solve######dobj####solve####some######det####problems####those######prep_of####some####problems
,,,"whichever camera you buy , add upto about 200 dollars for an additional memory_card i bought a 256 mb_card , usb card_reader , camera_bag and the warranty .",nsubj####camera####whichever######dep####bought####camera######nsubj####buy####you######ccomp####camera####buy######dep####buy####add######dobj####buy####upto######quantmod####200####about######num####dollars####200######dep####buy####dollars######det####memory_card####an######amod####memory_card####additional######prep_for####buy####memory_card######nsubj####bought####i######det####mb_card####a######num####mb_card####256######dobj####bought####mb_card######nn####card_reader####usb######dobj####bought####card_reader######conj_and####mb_card####card_reader######dobj####bought####camera_bag######conj_and####mb_card####camera_bag######det####warranty####the######dobj####bought####warranty######conj_and####mb_card####warranty
,,,"and finally , get your pictures developed at a kodak picture_maker machine even though it costs you a little extra - no one can beat kodak processing in terms of clarity and brightness .",nsubj####beat####and######advmod####beat####finally######parataxis####beat####get######poss####pictures####your######dobj####get####pictures######partmod####pictures####developed######det####machine####a######nn####machine####kodak######nn####machine####picture_maker######prep_at####developed####machine######advmod####costs####even######dep####costs####though######nsubj####costs####it######dep####get####costs######iobj####costs####you######det####extra####a######amod####extra####little######dobj####costs####extra######det####one####no######nsubj####beat####one######aux####beat####can######nn####processing####kodak######dobj####beat####processing######prep_in####beat####terms######prep_of####terms####clarity######prep_of####terms####brightness######conj_and####clarity####brightness
,,,hope this review has helped you in making up your mind .,det####review####this######nsubj####helped####review######aux####helped####has######ccomp####hope####helped######dobj####helped####you######prepc_in####helped####making######prt####making####up######poss####mind####your######dobj####making####mind
,,,i have taken about 150 photographs so far and have absolutely loved the experience .,dep####taken####i######aux####taken####have######quantmod####150####about######num####photographs####150######dobj####taken####photographs######advmod####far####so######advmod####taken####far######aux####loved####have######advmod####loved####absolutely######conj_and####taken####loved######det####experience####the######dobj####loved####experience
,,,i am looking forward to my vegas_trip for some great photographs now .,nsubj####looking####i######aux####looking####am######prt####looking####forward######poss####vegas_trip####my######prep_to####looking####vegas_trip######det####photographs####some######amod####photographs####great######prep_for####vegas_trip####photographs######advmod####looking####now
,,,"with our compact 35mm broken , and a vacation in europe at hand , i finally decided to enter the digital age .",poss####35mm####our######amod####35mm####compact######prep_with####decided####35mm######dep####35mm####broken######det####vacation####a######dep####35mm####vacation######conj_and####broken####vacation######prep_in####vacation####europe######prep_at####vacation####hand######nsubj####decided####i######xsubj####enter####i######advmod####decided####finally######aux####enter####to######xcomp####decided####enter######det####age####the######amod####age####digital######dobj####enter####age
,,,"i first intended to buy the 3100 , but am really happy to invest the extra money for the 4300 .",nsubj####intended####i######xsubj####buy####i######nsubj####happy####i######advmod####intended####first######aux####buy####to######xcomp####intended####buy######det####3100####the######dobj####buy####3100######cop####happy####am######advmod####happy####really######conj_but####intended####happy######aux####invest####to######xcomp####happy####invest######det####money####the######amod####money####extra######dobj####invest####money######det####4300####the######prep_for####money####4300
,,,"the lense is a lot better , and the 4mb produce fantastic pictures .",det####lense####the######nsubj####better####lense######cop####better####is######dep####lot####a######measure####better####lot######det####4mb####the######nsubj####produce####4mb######conj_and####better####produce######amod####pictures####fantastic######dobj####produce####pictures
"auto mode, manual mode, scene mode",,,"the possibilities with auto , manual , and the very helpful `` scene `` mode , which offers 11 optimized situational settings like portrait , landscape , beach_/ snow , sunset etc . , are endless .",cop####endless####are
movie mode,,,the movie_mode is also working great .,det####movie_mode####the######nsubj####working####movie_mode######aux####working####is######advmod####working####also######acomp####working####great
software,,,"the 4300 comes with excellent easy to install software_i use it on xp and win98 without problem , battery_charger , usb and video cable .",det####4300####the######nsubj####comes####4300######amod####cable####excellent######advmod####excellent####easy######aux####install####to######xcomp####excellent####install######nsubj####use####software_i######ccomp####install####use######dobj####use####it######prep_on####use####xp######prep_on####use####win98######conj_and####xp####win98######prep_without####use####problem######prep_without####use####battery_charger######conj_and####problem####battery_charger######prep_without####use####usb######conj_and####problem####usb######prep_without####use####video######conj_and####problem####video######prep_with####comes####cable
,,,a 64mb flash card_camera comes with a 16mb holds 52 pictures on `` normal `` resolution .,det####card_camera####a######amod####card_camera####64mb######nn####card_camera####flash######nsubj####comes####card_camera######mark####holds####with######det####16mb####a######nsubj####holds####16mb######advcl####comes####holds######num####pictures####52######dobj####holds####pictures######amod####resolution####normal######prep_on####pictures####resolution
