,,,"for me , i 'll save that cash for another purchase .",prep_for####save####me######nsubj####save####i######aux####save####'ll######det####cash####that######dobj####save####cash######det####purchase####another######prep_for####cash####purchase
,,,"before i decided to get this player , i did my research .",mark####decided####before######nsubj####decided####i######xsubj####get####i######advcl####did####decided######aux####get####to######xcomp####decided####get######det####player####this######dobj####get####player######nsubj####did####i######poss####research####my######dobj####did####research
,,,"i looked up the ipod , the dell_jukebox , and the samsung_napster player .",nsubj####looked####i######prt####looked####up######det####ipod####the######dobj####looked####ipod######det####dell_jukebox####the######dobj####looked####dell_jukebox######conj_and####ipod####dell_jukebox######det####player####the######nn####player####samsung_napster######dobj####looked####player######conj_and####ipod####player
deal,,,"i chose this one because from what i read , it was the best deal for the money .",nsubj####chose####i######ccomp####deal####chose######det####one####this######dobj####chose####one######dep####chose####because######dobj####read####what######nsubj####read####i######prepc_from####chose####read######nsubj####deal####it######cop####deal####was######det####deal####the######amod####deal####best######det####money####the######prep_for####deal####money
wma file,,,another reason_i got it is because you can put wma files on it .,det####reason_i####another######nsubj####got####reason_i######nsubj####is####it######ccomp####got####is######mark####put####because######nsubj####put####you######aux####put####can######advcl####is####put######nn####files####wma######dobj####put####files######prep_on####put####it
,,,that takes up half the space of mp3 's .,nsubj####takes####that######prt####takes####up######predet####space####half######det####space####the######dobj####takes####space######prep_of####space####mp3
,,,that 's important because i have a lot of music .,nsubj####important####that######cop####important####'s######mark####have####because######nsubj####have####i######advcl####important####have######det####lot####a######dobj####have####lot######prep_of####lot####music
software,,,the software is great .,det####software####the######nsubj####great####software######cop####great####is
,,,"you can sort your music by artist , title , album , or genre , and you can play music based on those categories .",nsubj####sort####you######aux####sort####can######poss####music####your######dobj####sort####music######prep_by####sort####artist######prep_by####sort####title######conj_or####artist####title######prep_by####sort####album######conj_or####artist####album######prep_by####sort####genre######conj_or####artist####genre######nsubj####play####you######aux####play####can######conj_and####sort####play######dobj####play####music######det####categories####those######prep_based_on####play####categories
software,,,"transfering is easy , the software makes everythig pretty easy .",nsubj####easy####transfering######cop####easy####is######ccomp####makes####easy######det####software####the######nsubj####makes####software######xcomp####makes####everythig######advmod####easy####pretty######acomp####everythig####easy
battery life,,,"even the battery_life is great - it advertises 14 hours , it 's actually a little less but still good .",advmod####great####even######det####battery_life####the######nsubj####great####battery_life######cop####great####is######dep####less####great######nsubj####advertises####it######parataxis####less####advertises######num####hours####14######dobj####advertises####hours######nsubj####less####it######nsubj####good####it######cop####less####'s######advmod####less####actually######dep####little####a######measure####less####little######advmod####good####still######conj_but####less####good
accessory,,,"only 1 problem , no accessories ... yet .",advmod####problem####only######num####problem####1######det####accessories####no######appos####problem####accessories######dep####problem####yet
remote,,,"i hope it 's because it 's new and they are not out yet , but being without a remote is hard .",nsubj####hope####i######nsubj####'s####it######ccomp####hope####'s######mark####new####because######nsubj####new####it######cop####new####'s######advcl####'s####new######nsubj####are####they######advcl####'s####are######conj_and####new####are######neg####are####not######advmod####are####out######advmod####are####yet######csubj####hard####being######det####remote####a######prep_without####being####remote######cop####hard####is######conj_but####hope####hard
interface,,,they player 's interface itself is also very easy to use .,nsubj####interface####they######advmod####interface####player######cop####interface####'s######nsubj####easy####itself######xsubj####use####itself######cop####easy####is######advmod####easy####also######advmod####easy####very######ccomp####interface####easy######aux####use####to######xcomp####easy####use
,,,"can 't complain and i recommend it over all the other players , just hope that remote will come out soon .",poss####t####can######nsubj####complain####t######nsubj####recommend####i######conj_and####complain####recommend######dobj####recommend####it######predet####players####all######det####players####the######amod####players####other######prep_over####recommend####players######advmod####hope####just######dep####players####hope######complm####come####that######nsubj####come####remote######aux####come####will######ccomp####hope####come######prt####come####out######advmod####come####soon
,,player,"get it , it 's woth every penny ! !"
,,,i was a little concerned to be the black sheep buying this player instead of the incredibly overpriced apple_i-pod .,nsubj####concerned####i######xsubj####sheep####i######cop####concerned####was######dep####little####a######measure####concerned####little######aux####sheep####to######cop####sheep####be######det####sheep####the######amod####sheep####black######xcomp####concerned####sheep######partmod####sheep####buying######det####player####this######dobj####buying####player######det####apple_i-pod####the######advmod####overpriced####incredibly######amod####apple_i-pod####overpriced######dobj####buying####apple_i-pod######conj_negcc####player####apple_i-pod
,,player,"i 've had it for a week now , do n't regret the purchase one bit , and i never leave home without it .",nsubj####had####i######aux####had####'ve######dobj####had####it######det####week####a######prep_for####had####week######advmod####week####now######aux####regret####do######neg####regret####n't######dep####had####regret######det####purchase####the######dobj####regret####purchase######num####bit####one######nsubj####regret####bit######nsubj####leave####i######neg####leave####never######conj_and####had####leave######dobj####leave####home######prep_without####leave####it
,,,"if you have any doubts about this player , well do n't .",mark####have####if######nsubj####have####you######advcl####do####have######det####doubts####any######dobj####have####doubts######det####player####this######prep_about####doubts####player######advmod####do####well######neg####do####n't
,,,pros :
software,,,"software is easy to use ( although redhat software is better , but costs money )",nsubj####easy####software######cop####easy####is######aux####use####to######xcomp####easy####use######mark####better####although######nn####software####redhat######nsubj####better####software######nsubj####costs####software######cop####better####is######parataxis####easy####better######parataxis####easy####costs######conj_but####better####costs######dobj####costs####money
price,,,"much cheaper than i-pod good looking player ( beautiful blue back-lit screen ) if you 've read about the player , some have complained about the lack of a viewing_hole for the face when the case is on , but this is good because the face does n't get damaged / scratched fast transfer_rate",advmod####cheaper####much######amod####good####i-pod######prep_than####cheaper####good######dep####cheaper####looking######dobj####looking####player######amod####screen####beautiful######nn####screen####blue######nn####screen####back-lit######appos####player####screen######mark####read####if######nsubj####read####you######aux####read####'ve######advcl####complained####read######det####player####the######prep_about####read####player######nsubj####complained####some######aux####complained####have######rcmod####player####complained######det####lack####the######prep_about####complained####lack######det####viewing_hole####a######prep_of####lack####viewing_hole######det####face####the######prep_for####viewing_hole####face######advmod####is####when######det####case####the######nsubj####is####case######advcl####complained####is######prep####is####on######nsubj####good####this######cop####good####is######rcmod####player####good######conj_but####complained####good######mark####get####because######det####face####the######nsubj####get####face######aux####get####does######neg####get####n't######advcl####good####get######amod####transfer_rate####damaged######amod####transfer_rate####\/######amod####transfer_rate####scratched######amod####transfer_rate####fast######dobj####get####transfer_rate
,,,no issues as of yet,det####issues####no######prep_as_of####issues####yet
,,,cons :
headphone,,,"you 're going to need to buy new headphones , the stock_ones suck",nsubj####going####you######xsubj####need####you######aux####going####'re######aux####need####to######xcomp####going####need######aux####buy####to######xcomp####need####buy######amod####headphones####new######dobj####buy####headphones######det####suck####the######amod####suck####stock_ones######appos####headphones####suck
,,,"hopefully , this player will out sell the ridculously over-hyped i-pod .",advmod####sell####hopefully######det####player####this######nsubj####sell####player######aux####sell####will######advmod####sell####out######det####i-pod####the######advmod####over-hyped####ridculously######amod####i-pod####over-hyped######dobj####sell####i-pod
,,,"if you want to be a poser and follow the herd , mooooooh , then buy the i-pod .",mark####want####if######nsubj####want####you######xsubj####poser####you######advcl####buy####want######aux####poser####to######cop####poser####be######det####poser####a######xcomp####want####poser######xcomp####want####follow######conj_and####poser####follow######det####herd####the######dobj####follow####herd######advmod####buy####mooooooh######advmod####buy####then######det####i-pod####the######dobj####buy####i-pod
,,,"otherwise , be smart , save the cash .",advmod####smart####otherwise######cop####smart####be######dep####smart####save######det####cash####the######dobj####save####cash
,,,for me the sound of the music is what is important .,prep_for####is####me######det####sound####the######nsubj####is####sound######det####music####the######prep_of####sound####music######nsubj####important####what######cop####important####is######ccomp####is####important
sound,,,the zen_xtra sounds great with good headphone and well recored mp3s .,det####zen_xtra####the######nsubj####sounds####zen_xtra######amod####mp3s####great######dep####mp3s####with######amod####headphone####good######pobj####with####headphone######conj_and####with####well######dep####mp3s####well######dep####with####recored######dobj####sounds####mp3s
navigation,,,navigation is a bit tricky and takes getting used to but the included pdf_instructions cover the operation pretty well .,nsubj####tricky####navigation######nsubj####takes####navigation######cop####tricky####is######dep####bit####a######measure####tricky####bit######conj_and####tricky####takes######auxpass####used####getting######xcomp####takes####used######cc####pdf_instructions####but######det####pdf_instructions####the######amod####pdf_instructions####included######prep_to####used####pdf_instructions######dep####tricky####cover######det####operation####the######dobj####cover####operation######advmod####well####pretty######advmod####cover####well
weight,,,at 8 ounces it is pretty light but not as light as the ipod .,num####ounces####8######prep_at####light####ounces######nsubj####light####it######cop####light####is######advmod####light####pretty######conj_but####light####not######neg####light####not######advmod####light####as######dep####light####light######det####ipod####the######prep_as####light####ipod
"battery,leather case",,,the battery is replaceable ( a real plus ) and there is a leather_case ( another real plus ) .,det####battery####the######nsubj####replaceable####battery######cop####replaceable####is######det####plus####a######amod####plus####real######dep####replaceable####plus######expl####is####there######conj_and####replaceable####is######det####leather_case####a######nsubj####is####leather_case######det####plus####another######amod####plus####real######appos####leather_case####plus
,,,i suppose that you could jog with it but it seems to be made for the enjoyment of music .,nsubj####suppose####i######complm####jog####that######nsubj####jog####you######aux####jog####could######ccomp####suppose####jog######prep_with####jog####it######nsubj####seems####it######xsubj####made####it######conj_but####suppose####seems######aux####made####to######auxpass####made####be######xcomp####seems####made######det####enjoyment####the######prep_for####made####enjoyment######prep_of####enjoyment####music
software,,,so far the software for the pc works easily .,advmod####far####so######advmod####works####far######det####software####the######nsubj####works####software######det####pc####the######prep_for####software####pc######advmod####works####easily
looking,,,"by the way , it looks nice also .",det####way####the######prep_by####looks####way######nsubj####looks####it######acomp####looks####nice######advmod####looks####also
,,,this thing kicks mighty apple_butt !,det####thing####this######nsubj####kicks####thing######advmod####apple_butt####mighty######acomp####kicks####apple_butt
,,,"i would have given this thing 4.5 stars but since i can 't , i 'll be sweet and give it the full 5 stars .",nsubj####given####i######aux####given####would######aux####given####have######det####thing####this######iobj####given####thing######num####stars####4.5######dobj####given####stars######mark####t####since######nsubj####t####i######aux####t####can######advcl####sweet####t######nsubj####sweet####i######nsubj####give####i######aux####sweet####'ll######cop####sweet####be######conj_but####given####sweet######conj_but####given####give######conj_and####sweet####give######iobj####give####it######det####stars####the######amod####stars####full######num####stars####5######dobj####give####stars
,,player,it 's worth it .,nsubj####worth####it######cop####worth####'s######dep####worth####it
,,,"i personally do n't like apple or their business_practices ( screwing resellers , customers and employees left and right ) so i shopped around for something else .",nsubj####like####i######advmod####like####personally######aux####like####do######neg####like####n't######dobj####like####apple######poss####business_practices####their######dobj####like####business_practices######conj_or####apple####business_practices######dep####like####screwing######dobj####screwing####resellers######dobj####screwing####customers######conj_and####resellers####customers######dobj####screwing####employees######conj_and####resellers####employees######advmod####screwing####left######advmod####screwing####right######conj_and####left####right######dep####like####so######nsubj####shopped####i######ccomp####like####shopped######prt####shopped####around######prep_for####shopped####something######advmod####something####else
,,,"after finally stumbling upon this zen_nx player , i knew i had found what i was looking for .",advmod####stumbling####finally######prepc_after####knew####stumbling######det####player####this######nn####player####zen_nx######prep_upon####stumbling####player######nsubj####knew####i######nsubj####found####i######aux####found####had######ccomp####knew####found######dep####looking####what######nsubj####looking####i######aux####looking####was######ccomp####found####looking######prep####looking####for
"battery life,price",,,my two main requirements were longer battery life and lower price : i found both .,poss####requirements####my######num####requirements####two######nn####requirements####main######nsubj####life####requirements######cop####life####were######amod####life####longer######nn####life####battery######amod####price####lower######conj_and####life####price######nsubj####found####i######parataxis####life####found######dobj####found####both
,,,this thing lasted well over 14 hours when i played it straight for the first time .,det####thing####this######nsubj####lasted####thing######advmod####lasted####well######num####hours####14######prep_over####lasted####hours######advmod####played####when######nsubj####played####i######advcl####lasted####played######dobj####played####it######dep####played####straight######det####time####the######amod####time####first######prep_for####played####time
,,,"the zen_nx is $ 100 cheaper than the ipod of the same size , so you have to wonder just how much apple 's markup is anyway !",det####zen_nx####the######nsubj####cheaper####zen_nx######cop####cheaper####is######measure####cheaper####$######num####$####100######det####ipod####the######prep_than####cheaper####ipod######det####size####the######amod####size####same######prep_of####ipod####size######dep####cheaper####so######nsubj####have####you######xsubj####wonder####you######ccomp####cheaper####have######aux####wonder####to######xcomp####have####wonder######advmod####much####just######advmod####much####how######dep####is####much######poss####markup####apple######nsubj####is####markup######ccomp####wonder####is######advmod####is####anyway
"sound, headphone",,,"the sound is excellent , but a tip : get a real pair of headphones .",det####sound####the######nsubj####excellent####sound######cop####excellent####is######det####tip####a######conj_but####excellent####tip######rcmod####excellent####get######rcmod####tip####get######det####pair####a######amod####pair####real######dobj####get####pair######prep_of####pair####headphones
,,,you wo n't appreciate the quality this thing has to offer unless you are using a good set of cans .,nsubj####appreciate####you######aux####appreciate####wo######neg####appreciate####n't######det####quality####the######dobj####appreciate####quality######dobj####has####quality######det####thing####this######nsubj####has####thing######xsubj####offer####thing######rcmod####quality####has######aux####offer####to######xcomp####has####offer######mark####using####unless######nsubj####using####you######aux####using####are######advcl####offer####using######det####set####a######amod####set####good######dobj####using####set######prep_of####set####cans
control,,,"the controls are on the side instead of on the front , which i like , because that 's where my thumb is when i hold the thing !",det####controls####the######nsubj####are####controls######det####side####the######prep_on####are####side######det####front####the######prep_on####are####front######conj_negcc####side####front######dobj####like####front######rel####like####which######nsubj####like####i######rcmod####front####like######mark####'s####because######nsubj####'s####that######advcl####are####'s######advmod####is####where######poss####thumb####my######nsubj####is####thumb######advcl####'s####is######advmod####hold####when######nsubj####hold####i######advcl####is####hold######det####thing####the######dobj####hold####thing
scroll wheel,,,the scroll_wheel is a big improvement over the ipod touchpad .,det####scroll_wheel####the######nsubj####improvement####scroll_wheel######cop####improvement####is######det####improvement####a######amod####improvement####big######det####touchpad####the######amod####touchpad####ipod######prep_over####improvement####touchpad
size,,,"it could be a little bit bigger , but it 's easy to get used to .",nsubj####bigger####it######aux####bigger####could######cop####bigger####be######det####bit####a######amod####bit####little######measure####bigger####bit######nsubj####easy####it######cop####easy####'s######conj_but####bigger####easy######aux####used####to######auxpass####used####get######xcomp####easy####used######xcomp####used####to
screen,,,"the screen may be a little smaller , but it is very readable and does n't come in the overused blue .",det####screen####the######nsubj####smaller####screen######aux####smaller####may######cop####smaller####be######dep####little####a######measure####smaller####little######nsubj####readable####it######nsubj####come####it######cop####readable####is######advmod####readable####very######conj_but####smaller####readable######aux####come####does######neg####come####n't######conj_but####smaller####come######conj_and####readable####come######det####blue####the######amod####blue####overused######prep_in####come####blue
firewire,,,"it does n't have firewire , not a real complaint since most windows_users do n't generally have firewire_cards themselves .",nsubj####have####it######aux####have####does######neg####have####n't######dobj####have####firewire######neg####firewire####not######det####complaint####a######amod####complaint####real######dep####firewire####complaint######mark####firewire_cards####since######amod####windows_users####most######nsubj####firewire_cards####windows_users######aux####firewire_cards####do######neg####firewire_cards####n't######advmod####firewire_cards####generally######aux####firewire_cards####have######advcl####have####firewire_cards######dobj####firewire_cards####themselves
,,,"( i would have appreciated having a firewire_plug , however )",nsubj####appreciated####i######aux####appreciated####would######aux####appreciated####have######xcomp####appreciated####having######det####firewire_plug####a######dobj####having####firewire_plug######advmod####appreciated####however
leather pouch,,,"the included leather_pouch is a big plus : it actually protects the unit well , something a lot of ' carrying cases ' fail to do with other audio devices .",det####leather_pouch####the######amod####leather_pouch####included######nsubj####plus####leather_pouch######cop####plus####is######det####plus####a######amod####plus####big######nsubj####protects####it######advmod####protects####actually######parataxis####plus####protects######det####unit####the######dobj####protects####unit######dobj####fail####unit######dep####fail####well######nsubj####fail####something######xsubj####do####something######det####lot####a######dep####something####lot######nn####cases####carrying######prep_of####something####cases######rcmod####unit####fail######aux####do####to######xcomp####fail####do######amod####devices####other######amod####devices####audio######prep_with####do####devices
"battery,construction,size,weight",,,"other plusses : changable battery , loads of presets for environments , decent construction , still quite small and light despite being slightly bigger than an ipod .",amod####plusses####other######dep####small####plusses######amod####battery####changable######dep####plusses####battery######appos####plusses####loads######prep_of####loads####presets######prep_for####presets####environments######amod####construction####decent######appos####environments####construction######advmod####small####still######advmod####small####quite######conj_and####small####light######cop####bigger####being######advmod####bigger####slightly######prepc_despite####small####bigger######det####ipod####an######prep_than####bigger####ipod
,,,( did i mention you can actually change the battery ? hello ? apple ? are you listening ? )
,,,i probably would have liked to have a player in something other than silver /_metallic ... like the battery_adapters on their usb thumbdrive ( muvo nx ) mp3_player models .,nsubj####liked####i######xsubj####have####i######advmod####liked####probably######aux####liked####would######aux####liked####have######aux####have####to######xcomp####liked####have######det####player####a######dobj####have####player######prep_in####have####something######advmod####have####other######dep####other####than######amod####\/####silver######pobj####than####\/######partmod####\/####_######amod####models####metallic######det####battery_adapters####the######prep_like####metallic####battery_adapters######poss####thumbdrive####their######nn####thumbdrive####usb######prep_on####battery_adapters####thumbdrive######nn####nx####muvo######dep####metallic####nx######amod####models####mp3_player######dobj####_####models
,,,"since the front_plate is removable to access the battery_compartment , aftermarket_alternate covers would not be difficult or expensive to make .",mark####removable####since######det####front_plate####the######nsubj####removable####front_plate######cop####removable####is######advcl####difficult####removable######aux####access####to######xcomp####removable####access######det####battery_compartment####the######dobj####access####battery_compartment######amod####covers####aftermarket_alternate######nsubj####difficult####covers######nsubj####expensive####covers######aux####difficult####would######neg####difficult####not######cop####difficult####be######conj_or####difficult####expensive######aux####make####to######xcomp####difficult####make
"sound,price",size,,"overall : small , sounds great , and less expensive than apple 's overpriced ipod !",nsubj####sounds####overall######amod####overall####small######acomp####sounds####great######advmod####expensive####less######acomp####sounds####expensive######conj_and####great####expensive######poss####ipod####apple######amod####ipod####overpriced######prep_than####sounds####ipod
battery,,,( batteries last longer too ! ),nsubj####last####batteries######advmod####too####longer######advmod####last####too
,,,"i shopped around for a month looking for a good mp3_player , and all i heard was how good the i-pod was .",nsubj####shopped####i######prt####shopped####around######det####month####a######prep_for####shopped####month######partmod####month####looking######det####mp3_player####a######amod####mp3_player####good######prep_for####looking####mp3_player######det####i####all######nsubj####heard####i######conj_and####shopped####heard######ccomp####heard####was######advmod####good####how######dep####was####good######det####i-pod####the######nsubj####was####i-pod######ccomp####was####was
,,,after messing with it at a store_i noticed how bad the i-pod was .,prepc_after####noticed####messing######prep_with####messing####it######det####store_i####a######prep_at####messing####store_i######advmod####bad####how######dep####was####bad######det####i-pod####the######nsubj####was####i-pod######dep####noticed####was
,,,"it was marked up increadably high compared to other models ( almost $ 500 for a 30gb ) , and theres was nothing about it that made it worth that much money .",nsubjpass####marked####it######auxpass####marked####was######prt####marked####up######advmod####high####increadably######dep####marked####high######amod####models####other######prep_compared_to####high####models######quantmod####$####almost######dep####models####$######number####$####500######det####30gb####a######prep_for####$####30gb######nsubj####nothing####theres######cop####nothing####was######conj_and####marked####nothing######nsubj####made####nothing######prep_about####nothing####it######rcmod####nothing####made######dobj####made####it######det####money####that######amod####money####much######prep_worth####made####money
"player, price",,,the creative labs_zen xtra has all the features the i-pod has and if you get if from amazon your only going to pay $ 300 for this great player .,det####xtra####the######amod####xtra####creative######nn####xtra####labs_zen######nsubj####has####xtra######predet####features####all######det####features####the######dobj####has####features######dobj####has####features######det####i-pod####the######nsubj####has####i-pod######rcmod####features####has######mark####get####if######nsubj####get####you######rcmod####features####get######conj_and####has####get######dep####get####if######prep_from####if####amazon######poss####only####your######dep####if####only######xsubj####pay####only######partmod####only####going######aux####pay####to######xcomp####going####pay######dobj####pay####$######num####$####300######det####player####this######amod####player####great######prep_for####$####player
player,,,"i 've had it for about 2 weeks and it 's the best player_i 've seen , and used , ever .",nsubj####had####i######aux####had####'ve######dobj####had####it######quantmod####2####about######num####weeks####2######prep_for####had####weeks######nsubj####player_i####it######cop####player_i####'s######det####player_i####the######amod####player_i####best######conj_and####had####player_i######aux####seen####'ve######rcmod####player_i####seen######rcmod####player_i####used######conj_and####seen####used######rcmod####player_i####ever######advmod####seen####ever######conj_and####seen####ever
menu,,,"the music is easy to get to ( all of the menus are easy to understand despite what alot of i-pod owners say ) and if you know how to search for an artist by name_online , then you can do the same with the zen .",det####music####the######nsubj####easy####music######cop####easy####is######aux####get####to######xcomp####easy####get######prep####get####to######nsubj####easy####all######det####menus####the######prep_of####all####menus######cop####easy####are######dep####easy####easy######aux####understand####to######xcomp####easy####understand######dobj####say####what######nsubj####say####alot######amod####owners####i-pod######prep_of####alot####owners######prepc_despite####understand####say######mark####know####if######nsubj####know####you######advcl####do####know######advmod####search####how######aux####search####to######ccomp####know####search######xcomp####know####search######det####artist####an######prep_for####search####artist######prep_by####search####name_online######advmod####do####then######nsubj####do####you######aux####do####can######conj_and####easy####do######det####same####the######dobj####do####same######det####zen####the######prep_with####do####zen
screen,,,"the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n't blind you when you stare too long .",det####screen####the######nsubj####easy####screen######xsubj####read####screen######cop####easy####is######advmod####easy####very######aux####read####to######xcomp####easy####read######det####light####the######amod####light####blue######nsubj####bright####light######cop####bright####is######conj_and####easy####bright######advmod####bright####enough######aux####read####to######xcomp####bright####read######prep_at####read####night######conj_and####easy####dim######advmod####bright####dim######conj_but####bright####dim######dep####bright####enough######mark####blind####so######nsubj####blind####it######aux####blind####does######neg####blind####n't######ccomp####enough####blind######dobj####blind####you######advmod####stare####when######nsubj####stare####you######advcl####blind####stare######advmod####long####too######acomp####stare####long
"player,use, software,sound",,,"all in all this a great player that blows the i-pod away , with easy to use and understand features , software that is simple to understand and use , and a great sound ( which is all that matters in a mp3_player ) .",dep####all####in######det####blows####all######predet####blows####all######dep####blows####this######det####player####a######amod####player####great######nn####blows####player######dep####player####that######pobj####in####blows######det####i-pod####the######dep####away####i-pod######dep####in####away######dep####all####with######amod####features####easy######aux####use####to######xcomp####easy####use######xcomp####easy####understand######conj_and####use####understand######pobj####with####features######pobj####with####software######conj_and####features####software######nsubj####simple####software######cop####simple####is######rcmod####software####simple######aux####understand####to######xcomp####simple####understand######xcomp####simple####use######conj_and####understand####use######det####sound####a######amod####sound####great######pobj####with####sound######conj_and####features####sound######nsubj####matters####which######cop####matters####is######predet####matters####all######det####matters####that######dep####sound####matters######det####mp3_player####a######prep_in####matters####mp3_player
,,,just get some new headphones and your set .,advmod####get####just######det####headphones####some######amod####headphones####new######dobj####get####headphones######poss####set####your######dobj####get####set######conj_and####headphones####set
,,,within 5 minutes_i was able to transfer files .,prep_within####able####5######nsubj####able####minutes_i######cop####able####was######aux####transfer####to######xcomp####able####transfer######dobj####transfer####files
program,,,it 's a very intuitive program .,nsubj####program####it######cop####program####'s######det####program####a######advmod####intuitive####very######amod####program####intuitive
installation,,,i had no problems following their installation_instructions .,nsubj####had####i######det####problems####no######dobj####had####problems######poss####installation_instructions####their######prep_following####problems####installation_instructions
menu,,,the menus are very easy to navigate .,det####menus####the######nsubj####easy####menus######cop####easy####are######advmod####easy####very######aux####navigate####to######xcomp####easy####navigate
scroll wheel,,,"the only complaint_i have is that when you push in the scroll_wheel to select , you have to push straight in or it sticks .",det####complaint_i####the######amod####complaint_i####only######nsubj####have####complaint_i######ccomp####have####is######complm####have####that######advmod####push####when######nsubj####push####you######dep####have####push######det####scroll_wheel####the######prep_in####push####scroll_wheel######aux####select####to######infmod####scroll_wheel####select######nsubj####have####you######xsubj####push####you######ccomp####is####have######aux####push####to######xcomp####have####push######advmod####push####straight######prep####push####in######nsubj####sticks####it######ccomp####is####sticks######conj_or####have####sticks
control,,,the other controls are all very easy to use .,det####controls####the######amod####controls####other######nsubj####easy####controls######cop####easy####are######advmod####easy####all######advmod####easy####very######aux####use####to######xcomp####easy####use
play option,,,"it has several play_options , one of the best is an option to shuffle , based on all or a certain playlist .",nsubj####has####it######ccomp####option####has######amod####play_options####several######dobj####has####play_options######nsubj####option####one######det####best####the######prep_of####one####best######cop####option####is######det####option####an######prep_to####option####shuffle######prep_based_on####option####all######det####playlist####a######amod####playlist####certain######prep_based_on####option####playlist######conj_or####all####playlist
