sprint,,,the day finally arrived when i was sure i 'd leave sprint .,det####day####the######nsubj####arrived####day######advmod####arrived####finally######advmod####sure####when######nsubj####sure####i######cop####sure####was######advcl####arrived####sure######nsubj####leave####i######aux####leave####'d######ccomp####sure####leave######dobj####leave####sprint
"sprint plan,sprint customer service",,,"after years with that carrier 's expensive plans and horrible customer_service , portability seemed heaven-sent .",prep_after####heaven-sent####years######det####carrier####that######poss####plans####carrier######amod####plans####expensive######prep_with####years####plans######amod####customer_service####horrible######prep_with####years####customer_service######conj_and####plans####customer_service######nsubj####heaven-sent####portability######cop####heaven-sent####seemed
,,,"i 'd always eyed the nokia phones and had heard decent things about t-mobile , so i gave it a whirl .",nsubj####eyed####i######nsubj####heard####i######aux####eyed####'d######advmod####eyed####always######det####phones####the######nn####phones####nokia######dobj####eyed####phones######aux####heard####had######conj_and####eyed####heard######amod####things####decent######dobj####heard####things######prep_about####heard####t-mobile######dep####eyed####so######nsubj####gave####i######ccomp####eyed####gave######iobj####gave####it######det####whirl####a######dobj####gave####whirl
 sturdy,size,,"here 's the brief synopsis : the phone is tiny , cute , feels kind of `` plastic-like `` ( as if it might break ) , but seems pretty sturdy .",nsubj####synopsis####here######cop####synopsis####'s######det####synopsis####the######amod####synopsis####brief######det####phone####the######nsubj####tiny####phone######nsubj####sturdy####phone######cop####tiny####is######parataxis####synopsis####tiny######dep####tiny####cute######dep####cute####feels######dobj####cute####kind######prep_of####kind####plastic-like######advmod####break####as######dep####break####if######nsubj####break####it######aux####break####might######dep####tiny####break######cop####sturdy####seems######advmod####sturdy####pretty######parataxis####synopsis####sturdy######conj_but####tiny####sturdy
"game,pim,radio",,,"it has lots of little cute features , my favorite being the games and the pim ( personal information_manager -- i.e . organizer ) , and the radio !",dep####radio####organizer######nn####the####and######nsubj####radio####the
reception,,,"i spent hours setting up the stations ( accepts about 13-14 , i believe ) , though the reception is unpredictable .",nsubj####spent####i######dobj####spent####hours######xcomp####spent####setting######prt####setting####up######det####stations####the######dobj####setting####stations######dep####stations####accepts######prep_about####accepts####13-14######nsubj####believe####i######ccomp####accepts####believe######mark####unpredictable####though######det####reception####the######nsubj####unpredictable####reception######cop####unpredictable####is######advcl####spent####unpredictable
,,,"also , you need to have the headset plugged in all the time to have the radio_work and that can get tedious .",advmod####need####also######nsubj####need####you######xsubj####have####you######aux####have####to######xcomp####need####have######det####headset####the######nsubj####plugged####headset######xsubj####have####headset######dep####have####plugged######predet####time####all######det####time####the######prep_in####plugged####time######aux####have####to######xcomp####plugged####have######det####radio_work####the######dobj####have####radio_work######nsubj####tedious####that######aux####tedious####can######dep####tedious####get######dep####have####tedious######conj_and####plugged####tedious
"sound volume, ear",,,the headset that comes with the phone has good sound_volume but it hurts the ears like you can not imagine !,det####headset####the######nsubj####comes####headset######nsubj####has####headset######rcmod####headset####comes######det####phone####the######prep_with####comes####phone######amod####sound_volume####good######dobj####has####sound_volume######nsubj####hurts####it######conj_but####has####hurts######det####ears####the######dobj####hurts####ears######mark####imagine####like######nsubj####imagine####you######aux####imagine####can######neg####imagine####not######advcl####hurts####imagine
"ringtone,background,screensaver,memory",,,"the phone comes with okay ringtones , some decent backgrounds / screensavers , but the phone has very little memory ( mine had 230kb as it arrived from amazon , so you do n't have too many options on what you can put on there ) .",det####phone####the######nsubj####comes####phone######amod####screensavers####okay######dep####okay####ringtones######det####backgrounds####some######amod####backgrounds####decent######appos####ringtones####backgrounds######nn####screensavers####\/######prep_with####comes####screensavers######det####phone####the######nsubj####has####phone######conj_but####comes####has######advmod####memory####very######amod####memory####little######dobj####has####memory######nsubj####had####mine######parataxis####has####had######dobj####had####230kb######mark####arrived####as######nsubj####arrived####it######advcl####had####arrived######prep_from####arrived####amazon######mark####have####so######nsubj####have####you######aux####have####do######neg####have####n't######advcl####arrived####have######advmod####options####too######amod####options####many######dobj####have####options######rel####put####what######nsubj####put####you######aux####put####can######rcmod####options####put######prep####put####on######pobj####on####there
color,,,the colors on the screen are not as crisp as i 'd have liked them to be .,det####colors####the######nsubj####crisp####colors######det####screen####the######prep_on####colors####screen######cop####crisp####are######neg####crisp####not######advmod####crisp####as######mark####liked####as######nsubj####liked####i######aux####liked####'d######aux####liked####have######advcl####crisp####liked######nsubj####be####them######aux####be####to######xcomp####liked####be
,,,"however , it serves its purpose .",advmod####serves####however######nsubj####serves####it######poss####purpose####its######dobj####serves####purpose
backlight,,,"the backlight on the phone goes off way too quickly ( dangerous when you 're driving at night ) , and there 's no way to change this --",det####backlight####the######nsubj####goes####backlight######det####phone####the######prep_on####backlight####phone######advmod####way####off######advmod####quickly####way######advmod####quickly####too######advmod####goes####quickly######dep####quickly####dangerous######advmod####driving####when######nsubj####driving####you######aux####driving####'re######ccomp####dangerous####driving######prep_at####driving####night######expl####'s####there######conj_and####goes####'s######det####way####no######nsubj####'s####way######aux####change####to######infmod####way####change######dobj####change####this
,,,i checked with nokia .,nsubj####checked####i######prep_with####checked####nokia
button,,,"the buttons on the phone are small , even for my small fingertips , but you get used to them rather quickly .",det####buttons####the######nsubj####small####buttons######det####phone####the######prep_on####buttons####phone######cop####small####are######advmod####small####even######poss####fingertips####my######amod####fingertips####small######prep_for####small####fingertips######nsubjpass####used####you######auxpass####used####get######conj_but####small####used######prep_to####used####them######dep####used####rather######dep####rather####quickly
menu options,,,"the menu_options are uncreative , as you can 't see a full screen of menu_items to pick from ; you have to scroll up and down to find what you 're looking for ( yes , this is minor , but not when you 're trying to keep your eye on the road ! ) ."
,,,more downside to this phone ?,amod####downside####more######det####phone####this######prep_to####downside####phone
volume,,,the volume .,det####volume####the
,,,oh my goodness --,poss####goodness####my######dobj####oh####goodness
volume,,,i have excellent hearing but the volume_level on this phone is especially quiet .,nsubj####have####i######amod####hearing####excellent######dobj####have####hearing######det####volume_level####the######nsubj####quiet####volume_level######det####phone####this######prep_on####volume_level####phone######cop####quiet####is######advmod####quiet####especially######conj_but####have####quiet
,,,forget talking on it in public -- you just can 't hear the other person !,xcomp####forget####talking######prt####talking####on######dobj####talking####it######prep_in####talking####public######nsubj####t####you######advmod####t####just######aux####t####can######parataxis####forget####t######xcomp####t####hear######det####person####the######amod####person####other######dobj####hear####person
battery life,,,"on the up-side , the phone has amazing battery_life .",det####up-side####the######prep_on####has####up-side######det####phone####the######nsubj####has####phone######amod####battery_life####amazing######dobj####has####battery_life
phone,,,"i do like this phone overall ( would give it a 3.5 ) , but unforutnately , i am returning it .",nsubj####do####i######det####phone####this######prep_like####do####phone######amod####phone####overall######aux####give####would######dep####phone####give######iobj####give####it######quantmod####3.5####a######dobj####give####3.5######advmod####returning####unforutnately######nsubj####returning####i######aux####returning####am######conj_but####do####returning######dobj####returning####it
,,,i was surprised by t-mobile 's service .,nsubjpass####surprised####i######auxpass####surprised####was######poss####service####t-mobile######agent####surprised####service
t-mobile reception,,,"i assumed they had exceptional service , but their reception in my area ( los angeles ) is horrendous .",nsubj####assumed####i######nsubj####had####they######ccomp####assumed####had######amod####service####exceptional######dobj####had####service######poss####reception####their######nsubj####horrendous####reception######poss####area####my######prep_in####reception####area######nn####angeles####los######appos####area####angeles######cop####horrendous####is######conj_but####assumed####horrendous
,,,reason ?
,,,they piggy-back on cingular 's service .,nsubj####piggy-back####they######poss####service####cingular######prep_on####piggy-back####service
t-zone,,,"also , their t-zones , although cheap ( $ 4.99 /_mo. ) never works .",advmod####works####also######poss####t-zones####their######nsubj####works####t-zones######dep####cheap####although######amod####t-zones####cheap######num####mo.####$######number####$####4.99######number####$####\/######nn####mo.####_######dep####cheap####mo.######neg####works####never
customer service,,,"since i received the phone , i spent countless hours on the phone with customer_service reps who promised t-zones would work `` in 24 hours `` .",advmod####received####since######nsubj####received####i######det####phone####the######dep####received####phone######nsubj####spent####i######dep####phone####spent######amod####hours####countless######dobj####spent####hours######det####phone####the######prep_on####spent####phone######amod####reps####customer_service######prep_with####spent####reps######nsubj####promised####reps######rcmod####reps####promised######nsubj####work####t-zones######aux####work####would######ccomp####promised####work######num####hours####24######prep_in####work####hours
t-zone,,,"i must have heard this about a dozen_times over the span of 2 weeks , when t-zones never worked .",nsubj####heard####i######aux####heard####must######aux####heard####have######dobj####heard####this######det####dozen_times####a######prep_about####this####dozen_times######det####span####the######prep_over####heard####span######num####weeks####2######prep_of####span####weeks######advmod####worked####when######nsubj####worked####t-zones######neg####worked####never######advcl####heard####worked
,,,24 hours ?,num####hours####24
,,,by what time_standards -- martian ?,nsubj####time_standards####what######dep####martian####time_standards######pobj####by####martian
t-mobile,,,"apparently , t-mobile is heavily back-logged and can 't keep up with demands .",advmod####back-logged####apparently######nsubj####back-logged####t-mobile######nsubj####t####t-mobile######cop####back-logged####is######advmod####back-logged####heavily######aux####t####can######conj_and####back-logged####t######ccomp####t####keep######prt####keep####up######prep_with####keep####demands
,,,"also , they 'd forgotten to add `` wap `` capability to my service ( duh ) , so that took another 4-5 days of figuring out .",advmod####forgotten####also######nsubj####forgotten####they######xsubj####add####they######aux####forgotten####'d######aux####add####to######xcomp####forgotten####add######amod####capability####wap######dobj####add####capability######poss####service####my######prep_to####add####service######appos####service####duh######dep####forgotten####so######nsubj####took####that######ccomp####forgotten####took######det####days####another######num####days####4-5######dobj####took####days######prepc_of####days####figuring######prt####figuring####out
customer rep,,,"in all fairness , customer_reps are very nice , and they ( most of them ) try hard to answer your questions .",dep####nice####in######det####fairness####all######pobj####in####fairness######nsubj####nice####customer_reps######cop####nice####are######advmod####nice####very######nsubj####try####they######dep####try####most######prep_of####most####them######conj_and####nice####try######acomp####try####hard######aux####answer####to######xcomp####hard####answer######poss####questions####your######dobj####answer####questions
,,,"but they do have this annoying habit of asking you if they 've answered all your questions , even if they did n't , to which they always seem to expect a `` yes `` answer from you .",cc####have####but######nsubj####have####they######aux####have####do######det####habit####this######amod####habit####annoying######dobj####have####habit######prepc_of####habit####asking######dobj####asking####you######mark####answered####if######nsubj####answered####they######aux####answered####'ve######advcl####asking####answered######predet####questions####all######poss####questions####your######dobj####answered####questions######advmod####did####even######dep####did####if######nsubj####did####they######dep####answered####did######neg####did####n't######rel####seem####which######nsubj####seem####they######xsubj####expect####they######advmod####seem####always######rcmod####habit####seem######aux####expect####to######xcomp####seem####expect######det####answer####a######amod####answer####yes######dobj####expect####answer######prep_from####expect####you
,,,"i realize this is for quality_assurance purposes , but i should have the right to say when my questions have not been answered ( i.e . me :"
,,,"`` when will my t-zones work ? `` , csr :",appos####``####csr
,,,`` i 'm not sure `` . ) .
,,,"umm , well , thanks for nothing .",nsubj####thanks####umm######advmod####thanks####well######prep_for####thanks####nothing
,,,"this one csr insisted on trying to get me to say that he 'd answered all my questions ( same interaction as i just described ) , and well .. ."
,,,that was annoying .,nsubj####annoying####that######cop####annoying####was
csr,,,"t-mobile is trying very hard , and again -- they do have pretty good csr 's .",nsubj####trying####t-mobile######aux####trying####is######advmod####hard####very######acomp####trying####hard######acomp####trying####again######advmod####hard####again######conj_and####hard####again######nsubj####have####they######aux####have####do######parataxis####trying####have######advmod####good####pretty######amod####'s####good######nn####'s####csr######dobj####have####'s
call,,,"however , the calls constantly drop in my area and i experince mega-static , to the point where i 'd have to dial numbers 6-7 times to get a clear line .",advmod####drop####however######det####calls####the######nsubj####drop####calls######advmod####drop####constantly######poss####area####my######prep_in####drop####area######nsubj####experince####i######conj_and####drop####experince######acomp####experince####mega-static######det####point####the######prep_to####experince####point######advmod####have####where######rel####have####where######nsubj####have####i######xsubj####dial####i######xsubj####get####i######aux####have####'d######rcmod####point####have######aux####dial####to######xcomp####have####dial######iobj####dial####numbers######num####times####6-7######dobj####dial####times######aux####get####to######xcomp####have####get######det####line####a######amod####line####clear######dobj####get####line
,,,and no t-zones .,cc####no####and######num####t-zones####no
,,,so what 's the point ?,dep####point####so######nsubj####point####what######cop####point####'s######det####point####the
sprint,,,"i 'm staying with sprint , and though i fear that their csr is n't nearly as good as t-mobile 's , the clarity of their reception is exceptional .",nsubj####staying####i######aux####staying####'m######prep_with####staying####sprint######mark####fear####though######nsubj####fear####i######advcl####exceptional####fear######complm####good####that######poss####csr####their######nsubj####good####csr######cop####good####is######neg####good####n't######advmod####good####nearly######advmod####good####as######ccomp####fear####good######prep_as####good####t-mobile######det####clarity####the######nsubj####exceptional####clarity######poss####reception####their######prep_of####clarity####reception######cop####exceptional####is######conj_and####staying####exceptional
,,,i 've bought the very expensive sanyo 5500/vm4500 -- which i love -- and i 'm okay with my services .,nsubj####bought####i######aux####bought####'ve######det####5500\/vm4500####the######advmod####expensive####very######amod####5500\/vm4500####expensive######nn####5500\/vm4500####sanyo######dobj####bought####5500\/vm4500######dobj####love####which######nsubj####love####i######dep####bought####love######nsubj####okay####i######cop####okay####'m######conj_and####bought####okay######poss####services####my######prep_with####okay####services
,,,guess all that glitters is not gold .,dobj####guess####all######complm####gold####that######nsubj####gold####glitters######cop####gold####is######neg####gold####not######ccomp####guess####gold
,,,it was worth a shot -- too bad it did n't work out .,nsubj####worth####it######cop####worth####was######det####shot####a######dep####worth####shot######advmod####bad####too######dep####worth####bad######nsubj####work####it######aux####work####did######neg####work####n't######ccomp####bad####work######prt####work####out
,,,hope_someone else has better luck !,nsubj####has####hope_someone######advmod####hope_someone####else######amod####luck####better######dobj####has####luck
,,,i bought one of these phones in kuwait to use with the mtc prepaid telephone_service ez because i would be able to use it when i return to the states with t-mobile .,nsubj####bought####i######xsubj####use####i######dobj####bought####one######det####phones####these######prep_of####one####phones######prep_in####bought####kuwait######aux####use####to######xcomp####bought####use######det####ez####the######amod####ez####mtc######amod####ez####prepaid######nn####ez####telephone_service######prep_with####use####ez######mark####able####because######nsubj####able####i######aux####able####would######cop####able####be######advcl####use####able######aux####use####to######xcomp####able####use######dobj####use####it######advmod####return####when######nsubj####return####i######advcl####use####return######det####states####the######prep_to####return####states######prep_with####states####t-mobile
,,,recently i accidently washed my telephone with my laundry through two complete 18 minute_wash cycles of a washing machine .,advmod####washed####recently######nsubj####washed####i######advmod####washed####accidently######poss####telephone####my######dobj####washed####telephone######poss####laundry####my######prep_with####washed####laundry######num####cycles####two######amod####cycles####complete######dep####complete####18######nn####cycles####minute_wash######prep_through####washed####cycles######det####machine####a######amod####machine####washing######prep_of####cycles####machine
,,,"disgusted with myself after i found the phone in the bottom of the washing_machine , i was about to throw it away when one of my fellow soldiers asked if he could dry it out for me in an effort to revive the phone .",ccomp####about####disgusted######prep_with####disgusted####myself######mark####found####after######nsubj####found####i######advcl####disgusted####found######det####phone####the######dobj####found####phone######det####bottom####the######prep_in####found####bottom######det####washing_machine####the######prep_of####bottom####washing_machine######nsubj####about####i######xsubj####throw####i######aux####about####was######aux####throw####to######xcomp####about####throw######dobj####throw####it######advmod####throw####away######advmod####asked####when######nsubj####asked####one######poss####soldiers####my######amod####soldiers####fellow######prep_of####one####soldiers######advcl####throw####asked######mark####dry####if######nsubj####dry####he######aux####dry####could######advcl####asked####dry######dobj####dry####it######prt####dry####out######prep_for####dry####me######det####effort####an######prep_in####dry####effort######aux####revive####to######infmod####effort####revive######det####phone####the######dobj####revive####phone
,,,two days later the phone was returned to me in complete working order .,num####days####two######nsubjpass####returned####days######tmod####returned####days######advmod####days####later######det####phone####the######nsubjpass####returned####phone######auxpass####returned####was######prep_to####returned####me######amod####order####complete######amod####order####working######prep_in####returned####order
phone performance,,,"while i like the performance of the phone in every regard , i would buy another one solely upon the apparent indestructibility of it .",mark####like####while######nsubj####like####i######advcl####buy####like######det####performance####the######dobj####like####performance######det####phone####the######prep_of####performance####phone######det####regard####every######prep_in####phone####regard######nsubj####buy####i######aux####buy####would######det####one####another######dobj####buy####one######advmod####buy####solely######det####indestructibility####the######amod####indestructibility####apparent######prep_upon####buy####indestructibility######prep_of####indestructibility####it
nokia,,,i highly recommend a nokia 6610 .,dep####recommend####i######advmod####recommend####highly######det####nokia####a######dobj####recommend####nokia######num####nokia####6610
,,,"i 've had an assortment of cell_phones over the years ( motorola , sony_ericsson , nokia etc. ) and in my opinion , nokia has the best menus and promps hands down .",nsubj####had####i######aux####had####'ve######det####assortment####an######dobj####had####assortment######prep_of####assortment####cell_phones######det####years####the######prep_over####cell_phones####years######appos####years####motorola######dep####motorola####sony_ericsson######nn####etc.####nokia######dep####motorola####etc.######poss####opinion####my######prep_in####has####opinion######nsubj####has####nokia######nsubj####promps####nokia######conj_and####had####has######det####menus####the######amod####menus####best######dobj####has####menus######conj_and####had####promps######conj_and####has####promps######dobj####promps####hands######prt####promps####down
feature,,,no other color_phone has the combination of features that the 6610 offers .,det####color_phone####no######amod####color_phone####other######nsubj####has####color_phone######det####combination####the######dobj####has####combination######prep_of####combination####features######dobj####offers####features######complm####offers####that######det####6610####the######nsubj####offers####6610######dep####features####offers
speakerphone,,,"from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone .",det####speakerphone####the######prep_from####used####speakerphone######nsubjpass####used####that######aux####used####can######auxpass####used####be######prt####used####up######num####feet####15######prep_to####used####feet######advmod####used####away######prep_with####used####clarity######det####megatones####the######amod####megatones####downloadable######amod####megatones####poly-graphic######prep_to####used####megatones######nsubj####adds####megatones######rcmod####megatones####adds######det####touch####a######amod####touch####personal######dobj####adds####touch######det####phone####this######amod####phone####nifty######prep_to####adds####phone
radio,,,"whether you 're taking a brisk jog , waiting for a bus or just having lunch at the park , you 'll be glad you had the fm radio .",dep####taking####whether######nsubj####taking####you######aux####taking####'re######ccomp####glad####taking######det####jog####a######amod####jog####brisk######dobj####taking####jog######dep####taking####waiting######det####bus####a######prep_for####waiting####bus######dep####taking####just######advmod####waiting####just######conj_or####waiting####just######dep####taking####having######conj_or####waiting####having######dobj####having####lunch######det####park####the######prep_at####lunch####park######nsubj####glad####you######aux####glad####'ll######cop####glad####be######nsubj####had####you######ccomp####glad####had######det####radio####the######nn####radio####fm######dobj####had####radio
,,,"wish it were a flip_phone , but thats not a deal_breaker !",nsubj####flip_phone####it######cop####flip_phone####were######det####flip_phone####a######ccomp####wish####flip_phone######ccomp####wish####thats######advmod####flip_phone####thats######conj_but####flip_phone####thats######ccomp####wish####not######conj_but####flip_phone####not######neg####flip_phone####not######det####deal_breaker####a######dep####flip_phone####deal_breaker
,,,i have had this phone for about 5 months .,dep####had####i######aux####had####have######det####phone####this######dobj####had####phone######quantmod####5####about######num####months####5######prep_for####phone####months
battery,,,i treat the battery well and it has lasted .,nsubj####treat####i######det####battery####the######dobj####treat####battery######advmod####treat####well######nsubj####lasted####it######aux####lasted####has######conj_and####treat####lasted
,,,"at my heaviest usage , i must recharge after 3 days .",poss####usage####my######amod####usage####heaviest######prep_at####recharge####usage######nsubj####recharge####i######aux####recharge####must######num####days####3######prep_after####recharge####days
,,,it lasts about 5 days otherwise and has lasted up to 10 when i was making very few calls .,nsubj####lasts####it######nsubj####lasted####it######quantmod####5####about######num####days####5######tmod####lasts####days######advmod####lasts####otherwise######aux####lasted####has######conj_and####lasts####lasted######prt####lasted####up######prep_to####lasted####10######advmod####making####when######nsubj####making####i######aux####making####was######advcl####lasted####making######advmod####few####very######amod####calls####few######dobj####making####calls
,,,signal strength will affect the battery_life .,nn####strength####signal######nsubj####affect####strength######aux####affect####will######det####battery_life####the######dobj####affect####battery_life
,,,frequent signal searches eat up battery_power .,amod####searches####frequent######nn####searches####signal######nsubj####eat####searches######prt####eat####up######dobj####eat####battery_power
,,,"i took great care of the screen , till i realized that the part that might get scratched is part of the cover .",nsubj####took####i######amod####care####great######dobj####took####care######det####screen####the######prep_of####care####screen######mark####realized####till######nsubj####realized####i######advcl####took####realized######complm####part####that######det####part####the######nsubj####get####part######nsubj####part####part######aux####get####might######rcmod####part####get######dobj####get####scratched######cop####part####is######ccomp####realized####part######det####cover####the######prep_of####part####cover
,,,i can replace that if the scratch is unbearable to look at .,nsubj####replace####i######aux####replace####can######complm####unbearable####that######dep####unbearable####if######det####scratch####the######nsubj####unbearable####scratch######cop####unbearable####is######ccomp####replace####unbearable######aux####look####to######xcomp####unbearable####look######advmod####look####at
volume,,,the volume_level of the phone is not all that good .,det####volume_level####the######nsubj####good####volume_level######det####phone####the######prep_of####volume_level####phone######cop####good####is######neg####good####not######dep####that####all######advmod####good####that
ring,,,"some of the higher pitched rings are very easy to hear , but not easy to listen to .",nsubj####easy####some######det####rings####the######amod####rings####higher######amod####rings####pitched######prep_of####some####rings######cop####easy####are######advmod####easy####very######aux####hear####to######xcomp####easy####hear######conj_but####easy####not######neg####easy####not######dep####easy####easy######aux####listen####to######xcomp####easy####listen######prep####listen####to
tone,,,the more subtle tones that were included with the phone are hard to hear at times .,det####tones####the######advmod####subtle####more######amod####tones####subtle######nsubjpass####included####tones######nsubj####hard####tones######auxpass####included####were######rcmod####tones####included######det####phone####the######prep_with####included####phone######cop####hard####are######aux####hear####to######xcomp####hard####hear######prep_at####hear####times
vibration,,,the vibration is not top .,det####vibration####the######nsubj####top####vibration######cop####top####is######neg####top####not
,,,"it is a teeny_phone , so it is hard to put a big mechanism in .",nsubj####teeny_phone####it######cop####teeny_phone####is######det####teeny_phone####a######dep####teeny_phone####so######nsubj####hard####it######cop####hard####is######ccomp####teeny_phone####hard######aux####put####to######xcomp####hard####put######det####mechanism####a######amod####mechanism####big######dobj####put####mechanism######prt####put####in
,,,"i do n't use the vibration , because it is often easier to hear it vibrate then to feel it .",nsubj####use####i######aux####use####do######neg####use####n't######det####vibration####the######dobj####use####vibration######mark####easier####because######nsubj####easier####it######xsubj####hear####it######cop####easier####is######advmod####easier####often######advcl####use####easier######aux####hear####to######xcomp####easier####hear######nsubj####vibrate####it######xsubj####feel####it######ccomp####hear####vibrate######advmod####vibrate####then######aux####feel####to######xcomp####vibrate####feel######dobj####feel####it
,,,vibration was not even listed as a feature when i purchased this .,nsubjpass####listed####vibration######auxpass####listed####was######neg####listed####not######advmod####listed####even######det####feature####a######prep_as####listed####feature######tmod####purchased####feature######advmod####purchased####when######rel####purchased####when######nsubj####purchased####i######dep####feature####purchased######dobj####purchased####this
,,,so it was no loss .,dep####loss####so######nsubj####loss####it######cop####loss####was######det####loss####no
phone,,,overall this has been my favorite phone that i have owned .,advmod####phone####overall######nsubj####phone####this######aux####phone####has######cop####phone####been######poss####phone####my######amod####phone####favorite######complm####owned####that######nsubj####owned####i######aux####owned####have######ccomp####phone####owned
"battery life,size",volume,,"great battery_life , perfect size , but a tid bit quieter than i would like .",amod####battery_life####great######nsubj####like####battery_life######amod####size####perfect######appos####battery_life####size######prep####battery_life####but######det####quieter####a######nn####quieter####tid######nn####quieter####bit######dep####but####quieter######prep_than####quieter####i######aux####like####would
,,,i do hope that they offer more faceplate options .,dep####do####i######dobj####do####hope######complm####offer####that######nsubj####offer####they######ccomp####do####offer######amod####options####more######nn####options####faceplate######dobj####offer####options
,look,,i am bored with the silver look .,nsubjpass####bored####i######auxpass####bored####am######det####look####the######amod####look####silver######prep_with####bored####look
color screen,,,it has a nice color_screen .,nsubj####has####it######det####color_screen####a######amod####color_screen####nice######dobj####has####color_screen
,size,,it is small .,nsubj####small####it######cop####small####is
